DealerComment,Component,Failure,DefectivePart,PartsReplaced,Cost,Translated_DealerComment,extracted_entities,defective_component,defective_part,failure_type,num_parts_replaced,total_cost,cause_of_failure
"SICAYET ARACIN ARIZA LAMBALARI YANIYOR NEDEN YAPILAN KONTROLLERDE ARKA SAĞ VE SOL ABS SENSÖRLERİNDE 
ELEKTRİKSEL ARIZA TESPİT EDİLDİ. YAPILANIS ARKA SAĞ VE SOL ABS SENSÖRLERİ DEĞİŞTİRİLEREK ARIZA 
GİDERİLDİ.",SENSOR,SHORT CIRCUIT,SENSOR,2.0,104.853508,"TEMPERATURE  THE VEHICLE'S FAILURE LIGHTS ARE ON  WHY THE CHECKS DONE IN THE REAR RIGHT AND LEFT ABS SENSORS. 
ELECTRICAL FAILURE HAS BEEN DETECTED. PROCEDURE  FAILURE BY REPLACING REAR RIGHT AND LEFT ABS SENSORS 
REMOVED.",{},N/A,N/A,N/A,N/A,N/A,N/A
"COMPLAINT The working temperature of the vehicle rizes too much CAUSE First and second speed of the ventilator fan do not work due to defective 
contacts of wiring installation CORRECTION Check and repair of wiring installation",ENG HOOD WIRING HARNESS,DEFECTIVE CONTACTS,HOOD WIRING,0.0,102.3,"COMPLAINT The working temperature of the vehicle rizes too much CAUSE First and second speed of the ventilator fan do not work due to defective 
contacts of wiring installation CORRECTION Check and repair of wiring installation",{},N/A,N/A,N/A,N/A,N/A,N/A
 SKARGA WERYFIKACJA PULUSUJ CEJ KONTROLKI ADBLUE  CPRZ BRAK REZYSTANCJI GRZALKI ADBLUE  KORECTA WYMIANA NA NOWA GRZALKE ADBLUE,PIPES AD-BLUE,DEFECT,DELIVERY LINE,1.0,136.411636, COMPLAINT  VERIFYING THE ADBLUE LIGHT IS FLASHING   CPRZ NO ADBLUE HEATER RESISTANCE   CORRECTION  REPLACEMENT OF A NEW ADBLUE HEATER,{},N/A,N/A,N/A,N/A,N/A,N/A
 COMPLAINT NON START  CAUSE ATTEND VEHICLE AND CARRIED OUT CHECKS AND CONNECT UDT UNABLE TO FAULT. CLEARED FAULTS AND CARRIED OUT ROAD UNABLE TO FAULT DURING TE ST. RECHECKED VEHICLE AGAIN WITH ADBLUE FAULT LIGHT COMING ON DASH.  CORRECTION TRACED SYSTEM TO O/C IN WIRING CAUSING INTERMITTANT FAULT. REPAIRED WIRING AS REQUIRED AND REASSEMBLE AND SECURED LOOM. CLEARED FAUL TS AND RECHECKED OKAY,CHASSIS LOOM,SHORT CIRCUIT,FRAME WIRING,0.0,230.712643, COMPLAINT NON START  CAUSE ATTEND VEHICLE AND CARRIED OUT CHECKS AND CONNECT UDT UNABLE TO FAULT. CLEARED FAULTS AND CARRIED OUT ROAD UNABLE TO FAULT DURING TE ST. RECHECKED VEHICLE AGAIN WITH ADBLUE FAULT LIGHT COMING ON DASH.  CORRECTION TRACED SYSTEM TO O/C IN WIRING CAUSING INTERMITTANT FAULT. REPAIRED WIRING AS REQUIRED AND REASSEMBLE AND SECURED LOOM. CLEARED FAUL TS AND RECHECKED OKAY,{},N/A,N/A,N/A,N/A,N/A,N/A
 TIPO DANNO GUASTO ATTIVO SCR- SISTEMA DOSAGGIO AD BLUE  CAUSA MALFUNZIONAMENTO SOFTWARE CENTRALINA EDC  CORREZIONE RIPROGRAMMAZIONE CENTRALINA EDC CON SOFTWARE FORNITO DA CENTRO ESPERTO,ENGINE DRIVE CONTR.UNIT,INCORRECT ADJUSTMENT,ELECTR. CONTR. UNIT,0.0,60.0, DAMAGE TYPE  ACTIVE FAULT SCR- BLUE DOSING SYSTEM   CAUSE EDC CONTROL UNIT SOFTWARE MALFUNCTION   CORRECTION  EDC CONTROL UNIT REPROGRAMMING WITH SOFTWARE SUPPLIED BY AN EXPERT CENTER,{},N/A,N/A,N/A,N/A,N/A,N/A
COMPLAINT DIAGNOZA MOTOR CAUSE DEFECT SONDA LAMBDA. CORRECTION NUMAI CU SCHIMBARE SENZORULUI SONDA LAMBDA.,OXYGEN SENSOR,DEFECT,SENSOR,1.0,79.046844, COMPLAINT  ENGINE DIAGNOSIS CAUSES  LAMBDA PROBE DEFECT.  CORRECTION  ONLY WITH CHANGE OF THE LAMBDA PROBE SENSOR.,{},N/A,N/A,N/A,N/A,N/A,N/A
"RECLAMO FALLO REGENERACION FILTRO PARTICULAS CAUSA SEGUN EASY DPF - SUPERVISIÓN FLUJO DE GAS DE DESCARGA
DATOS VÁLIDOS PERO POR ENCIMA DEL LÍMITE OPERATIVO 
NORMAL - NIVEL DE GRAVEDAD ELEVADO [DTC: 0xFEEE0 SPN: 
0x7EE0F FMI: 0x00 ] SOLUCION CONECTAR EASY, COMPROBAR AVERIAS, CAMBIAR SENSOR 
TEMPERATURA ENTRADA GAS Y BORRAR AVERIAS",TEMPERATURE SENSOR,DEFECT,SENSOR,1.0,70.9,"CLAIM  PARTICULATE FILTER REGENERATION FAILURE CAUSE  ACCORDING TO EASY DPF - DISCHARGE GAS FLOW SUPERVISION
VALID DATA BUT ABOVE THE OPERATIONAL LIMIT 
NORMAL - ELEVATED SEVERITY LEVEL [DTC: 0xFEEE0 SPN: 
0x7EE0F FMI: 0x00 ] SOLUTION  CONNECT EASY, CHECK TROUBLESHOOTING, CHANGE SENSOR 
GAS INLET TEMPERATURE AND DELETE FAULTS",{},N/A,N/A,N/A,N/A,N/A,N/A
" REKL Motoroelverlusste beheben  GRUND Kurbelwellendichtring eingelaufen, Einspritzpumpen-Antriebsrad korrodiert  KORRECTUR Stoerung befunden, Leckagen lokalisieren, dazu diverse Verkleidungen a-e, Motorwarmlauf, Schadbereiche Reinigen, Front zerlegt (voll integriertes Wohnmobil) und Kuehlerpaket a-e, Klimakondensator a-e, Zwischenrad der Steuerkette verrostet > erneuern, Steuerradgehae usedeckel a-e, Steuerkette a-e, Kettenspanner erneuern, Wellendichtring Kurbelwelle vorn erneuern, Motorlauf und Dichtheit pruefen, inigen",CRANKSHAFT FRONT SEAL,OIL LEAKS,SHAFT SEAL,11.2,2242.8," REKL  Fix engine oil leaks   REASON Crankshaft seal worn in, injection pump drive gear corroded   CORRECTION  Malfunction found, locate leaks, various panels a-e, engine warm-up, clean damaged areas, front dismantled (fully integrated motorhome) and radiator package a-e, air conditioning condenser a-e, timing chain intermediate wheel rusted > replace, timing wheel housing cover a-e, timing chain a-e, Replace chain tensioner, replace front crankshaft oil seal, check engine running and leaks, clean",{},N/A,N/A,N/A,N/A,N/A,N/A
REKL Motor wird heiß - Fahrzeug im Notlauf - Lüfter schaltet nicht ein GRUND Motor - Kabelstrang durchgescheuert KORRECTUR Kabelstrang instand setzen,COMPLETE ENGINE CABLING,INTERFERENCE,MOTOR HARNESS,1.0,237.1,REKL  Engine gets hot - Vehicle in emergency mode - Fan doesn't switch on  REASON Engine wiring harness frayed  CORRECTION  Repair the cable harness,{},N/A,N/A,N/A,N/A,N/A,N/A
COMPLAINT NON START CAUSE CAB LOOM SHORT CIRCUIT CORRECTION INVESIGATE FAULT. REPAIR WIRING LOOM AND CHECK OPERATION,CAB LOOM,SHORT CIRCUIT,CAB WIRING,0.0,122.931035,COMPLAINT NON START CAUSE CAB LOOM SHORT CIRCUIT CORRECTION INVESIGATE FAULT. REPAIR WIRING LOOM AND CHECK OPERATION,{},N/A,N/A,N/A,N/A,N/A,N/A
 INCIDENT VEHICULE ARRETE PEDALE EMBRAYAGE AU FOND  CAUSE BLOCAGE EMBRAYAGE  SOLUTION REMPL COMPLET COMMANDE HYDRAUL EMBRAYAGE,CLUTCH SYS TANK AND PUMP,BLOCKAGE,KIT-HYDRAULIC CYL,2.0,213.73," INCIDENT  VEHICLE STOPPED, CLUTCH PEDAL FULLY   CAUSE CLUTCH LOCKED   SOLUTION  COMPLETE REPLACEMENT OF HYDRAUL CLUTCH CONTROL",{},N/A,N/A,N/A,N/A,N/A,N/A
COMPLAINT Scartait in viraje CAUSE Pivoti superiori defecti CORRECTION Inlocuit pivoti superiori,SUSP.ARM BALL JOINTS,DEFECT,BALL JOINT,6.0,197.517717, COMPLAINT  Squealing in turns CAUSES  Defective upper pivots  CORRECTION Replaced upper pivots,{},N/A,N/A,N/A,N/A,N/A,N/A
SKARGA Swieci sie kontrolka silnika CPRZ Usterka elektryczna czujnika temperatury spalin KORECTA Wymiana czujnika temperatury spalin,TEMPERATURE SENSOR,DEFECT,SENSOR,1.0,89.834451,COMPLAINT  Engine light is on  CPRZ Exhaust gas temperature sensor electrical fault  CORRECTION Replacement of the exhaust gas temperature sensor,{},N/A,N/A,N/A,N/A,N/A,N/A
"TIPO DANNO ACCENSIONE SPIA MOTORE CAUSA TUBAZIONE IMPIANTO ADBLUE DA POMPA A DOSATORE ROTTA CORREZIONE DIAGNOSI IMPIANTO EDC E DENOZ, ESEGUITO PROCEDURA 
GUIDATA SU E-TIM 001102-04-SCR, S-R E SOST.TUBAZIONE 
IMPIANTO AD-BLUE DA POMPA A D OSATORE, ESEGUITO TEST 
UDST FINALE",PIPES AD-BLUE,BREAK,DELIVERY LINE,1.0,226.89,"DAMAGE TYPE  ENGINE LIGHT ON CAUSE  BROKEN ADBLUE SYSTEM PIPE FROM PUMP TO DOSER  CORRECTION DIAGNOSIS EDC AND DENOZ SYSTEM, PROCEDURE COMPLETED 
GUIDED ON E-TIM 001102-04-SCR, S-R AND REPLACEMENT OF PIPE 
AD-BLUE SYSTEM FROM PUMP TO DOSER, TESTED 
FINAL UDST",{},N/A,N/A,N/A,N/A,N/A,N/A
SKARGA przy dodawaniu gazu turbina głośniej pracuje CPRZ pęknięty przewód sterowania podciśnieniem turbiny KORECTA wymiana uszkodzonego przewodu na nowy,ACTUATOR AIR PIPES,BREAK,HOSE,2.0,52.39158,"COMPLAINT  when adding gas, the turbine is louder  CPRZ broken turbine vacuum control cable  CORRECTION  replacing the damaged cable with a new one",{},N/A,N/A,N/A,N/A,N/A,N/A
" REKL ABSCHLEPPEN FA HOELLDOBLER  GRUND MOTOR AUSGEGANGEN, STEHT MITTEN AUF DER KREUZUNG  KORRECTUR ABSCHLEPPEN FA. HOELLDOBLER",ANS 24H RECOVERY CHARGE,MISCELLANEOUS,LV BATTERY CABLE,0.0,222.0," REKL  TOWING FA HOELLDOBLER   REASON ENGINE OFF, STAYING IN THE MIDDLE OF THE CROSSING   CORRECTION  TOWING FA. HOELLDOBLER",{},N/A,N/A,N/A,N/A,N/A,N/A
TIPO DANNO VEICOLO IN PROTEZIONE CAUSA PESCANTE IN AVARIA CORREZIONE sostituzione,AD-BLUE TANK,LOW OUTPUT/EFFICIENCY,TANK/RESERVOIR,51.0,1503.8,DAMAGE TYPE  VEHICLE UNDER PROTECTION CAUSE  DAMAGED FISHING MACHINE  CORRECTION replacement,{},N/A,N/A,N/A,N/A,N/A,N/A
COMPLAINT ingen strøm i USB port CAUSE USB port kortsluttet CORRECTION USB port udskiftet,USB MODULE,SHORT CIRCUIT,INDICATOR,1.0,191.420911,COMPLAIN  no power in USB port CAUSE  USB port shorted  CORRECTION USB port replaced,{},N/A,N/A,N/A,N/A,N/A,N/A
" SKARGA Komunikat - funkcja HILLHOLDER niedost²pna.  CPRZ Bledny sygnal przelacznika biegu wstecznego - sieje bledy do ukladu  KORECTA Weryfikacja usterki, wymiana przelacznika biegu wstecznegoA",BACK-UP LAMP SWITCH,DEFECT,REAR LIGHT SWITCH,2.0,84.346757," COMPLAINT  Message - HILLHOLDER function unavailable.  CPRZ  Incorrect signal from the reverse gear switch - causing errors in the system   CORRECTION Fault verification, reverse gear switch replacementA",{},N/A,N/A,N/A,N/A,N/A,N/A
"REKL ZV Schiebetür ohne Funktion GRUND Türkontaktschalter defekt, schadhafte Kontakte KORRECTUR Kontakte und Anschlüsse überprüft,
Schiebetürverkleidung a-e, 
Kontaktschalter und Schleifkontakt ersetzt.",COURTESY LIGHT SWITCH,DEFECTIVE CONTACTS,SLIDING CONTACT,2.0,145.19,"REKL  ZV sliding door without function  REASON Door contact switch defective, damaged contacts  CORRECTION  Contacts and connections checked,
Sliding door panel a-e, 
Contact switch and sliding contact replaced.",{},N/A,N/A,N/A,N/A,N/A,N/A
 TIPO DANNO FANALERIA ANTERIORE NON FUNZIONA CORRETTAMENTE  CAUSA fanale anteriore da sost.  CORREZIONE sost,HEADLAMP ASSY,WATER INFILTRATION,HEADLIGHT,1.0,295.99, DAMAGE TYPE  FRONT LIGHTS DO NOT WORK CORRECTLY   CAUSE front light to be replaced.  CORRECTION  noun,{},N/A,N/A,N/A,N/A,N/A,N/A
"REKL Der Rückfahrsummer ist ohne Funktion. GRUND Der Rückfahrsummer hat einen schadhaften Kontakt, die Platine ist oxidiert. KORRECTUR Die Spannungsversorgung und Steckverbindungen wurden überprüft. Der
Rückfahrsummer wurde erneuert.",BUZZERS,DEFECTIVE CONTACTS,INDICATOR,1.0,103.53,"REKL  The reversing buzzer has no function. REASON  The reversing buzzer has a defective contact, the circuit board is oxidized. CORRECTION  The power supply and plug connections have been checked. The
Reversing buzzer has been renewed.",{},N/A,N/A,N/A,N/A,N/A,N/A
" TIPO DANNO Spia inducement accesa  CAUSA Riscontrato cablaggio sensore nox (a monte) incastrato e conseguentemente danneggiato tra telaio e staffa catalizzatore.  CORREZIONE Collegamento stazione UDT per lettura errori in centralina, sostituzione sensore e cancellazione guasti.",NOX DETECTION SENSOR,DEFECT,NOX SENSOR,1.0,222.67," DAMAGE TYPE  Induction light on  CAUSE  Nox sensor wiring (upstream) found stuck and consequently damaged between the frame and catalytic converter bracket.  CORRECTION  UDT station connection for reading errors in the control unit, replacing the sensor and clearing faults.",{},N/A,N/A,N/A,N/A,N/A,N/A
" TIPO DANNO CONTROLLO AVVIAMENTO  CAUSA difettosita batteria vviamento  CORREZIONE DIAGNOSI CON UDT, S/R PEDANA PER SOST. BATTERIA AVVIAMENTO",BATTERY,DEFECT,BATTERY,1.0,261.13," DAMAGE TYPE  STARTING CHECK  CAUSE  starter battery defective   CORRECTION DIAGNOSIS WITH UDT, S/R PLATFORM FOR REPLACEMENT STARTING BATTERY",{},N/A,N/A,N/A,N/A,N/A,N/A
"SKARGA CZASAMI NIE DZIALA KLIMATYZACJA CPRZ BRAK CZYNNIKA W UKLADZIE ZDEFORMOWANY ORING 
PRZEWODU KLIMATYZACJI KORECTA D/M PASA PRZEDNIEGO,PRZEWODU,WYMIANA ORINGA 
,NAPELNIENIE KLIMATYZACJI",HOSES,DEFORMED,O-RING,1.0,96.789474,"COMPLAINT  SOMETIMES THE AIR CONDITIONING DOESN'T WORK  CPRZ LACK OF FACTOR IN THE SYSTEM DEFORMED O-RING 
AIR CONDITIONING HOSE CORRECTION  D/M FRONT BELT, PIPE, O-RING REPLACEMENT 
,FILLING THE AIR CONDITIONING",{},N/A,N/A,N/A,N/A,N/A,N/A
"COMPLAINT VERIFICAT FUNTIONARE PEDALA AMBREIAJ CAUSE KIT HIDRAULIC AMBREIAJ DEFECT, PIERDERI LICHID CORRECTION INLOCUIT KIT HIDRAULIC AMBREIAJ",CLUTCH SYS TANK AND PUMP,DEFECT,KIT-HYDRAULIC CYL,1.0,84.429736," COMPLAINT  CLUTCH PEDAL FUNCTION VERIFIED  CAUSES  DEFECTIVE CLUTCH HYDRAULIC KIT, FLUID LOSS  CORRECTION HYDRAULIC CLUTCH KIT REPLACED",{},N/A,N/A,N/A,N/A,N/A,N/A
SKARGA WYCIEK PALIWA CPRZ P­KNI­TY PRZEWéD PALIWA KORECTA WYMIANA PRZEWODU PALIWA,PUMP TO FILTER PIPE,BREAK,FUEL LINE,1.0,32.637895,COMPLAINT  FUEL LEAK CPPR  BROKEN FUEL PIPE  CORRECTION  FUEL PIPE REPLACEMENT,{},N/A,N/A,N/A,N/A,N/A,N/A
"SKARGA BŁEDY OD RADARU CPRZ BŁEDY W OPROGRAMOWANIU KORECTA DIAGNOSTYKA ZDALNA RAS,KASOWANIE BLEDOW",ACC SENSOR,DEFECT,SENSOR,0.0,18.494737,"COMPLAINT  RADAR ERRORS  CPRZ SOFTWARE ERRORS  CORRECTION  RAS REMOTE DIAGNOSTICS, ERASING ERRORS",{},N/A,N/A,N/A,N/A,N/A,N/A
 SKARGA spadek mocy max 20 km /h check engine  CPRZ aktualizacja kasety edc  KORECTA aktualizacja kasety edc,ENGINE DRIVE CONTR.UNIT,DEFECT,ECU-ENGINE,0.0,53.28859, COMPLAINT  power loss max 20 km/h check engine   CPRZ EDC cartridge update   CORRECTION  EDC cartridge update,{},N/A,N/A,N/A,N/A,N/A,N/A
" REKL Motorfehler im Display  GRUND Diagnose: Lambdasonde; E-Anlage und AnschlÜsse geprÜft i.O., Sensor schadhaft / Kurzschluss  KORRECTUR Lambdasonde erneuert und programmiert",OXYGEN SENSOR,DEFECTIVE CONTACTS,SENSOR,3.0,225.61," REKL  Engine error in the display   REASON Diagnosis: Lambda sensor; Electrical system and connections checked OK, sensor defective / short circuit  CORRECTION  Lambda sensor renewed and programmed",{},N/A,N/A,N/A,N/A,N/A,N/A
" TIPO DANNO SPIA MOTORE ACCESA E RIDUZIONE DI POTENZA  CAUSA CAUSA SENSORE TEMPERATURA IN CORTO  CORREZIONE DIAGNOSI , SOSTITUZIONE SENSORE TEMPERATURA ENTRATA GAS DI SCARICO",TEMPERATURE SENSOR,SHORT CIRCUIT,LAMBDA SENSOR,1.0,118.55," DAMAGE TYPE  ENGINE LIGHT ON AND POWER REDUCTION   CAUSE CAUSE TEMPERATURE SENSOR SHORT   CORRECTION  DIAGNOSIS, EXHAUST GAS INLET TEMPERATURE SENSOR REPLACEMENT",{},N/A,N/A,N/A,N/A,N/A,N/A
"REKL Schiebetüre rechts undicht Wassereintritt GRUND Türe ist falsch eingestellt KORRECTUR Schiebetüre a/e, einstellen & Türdichtung erneuern",VAN SLIDING DOOR,INCORRECT ADJUSTMENT,SLIDING DOOR,1.0,256.56,"REKL  Sliding door on the right leaking water ingress  REASON Door is set incorrectly  CORRECTION  Sliding door a/e, adjust & replace door seal",{},N/A,N/A,N/A,N/A,N/A,N/A
 SKARGA ROðNIE POZIOM OLEJU NA BAGNECIE  CPRZ wycieki oleju przy czujniku ciænienia  KORECTA wymiana czujnika ciænienia oleju,ENG.OIL PRESSURE SWITCH,DEFORMED,PRESSURE SWITCH,1.0,121.01342, COMPLAINT  INCREASING OIL LEVEL ON THE DIPPLUG   CPRZ oil leaks at the pressure sensor   CORRECTION  oil pressure sensor replacement,{},N/A,N/A,N/A,N/A,N/A,N/A
" TIPO DANNO SPIA INDUCEMENT E MOTORE ACCESE  CAUSA BLOCCAGGGIO POMPA ADBLUE  CORREZIONE DIAGNOSI, TEST UDST CONTROLLI IMP. ADBLUE DA PROCEDUTA GUIDATA, RIEMPIMENTO E SBLOCCAGGIO POMPA (ECO). CONTROLLO REAGENTE ADBLUE,SEC ONDO TEST UDST, CANCELLATO MEMORIA GUASTI",AD-BLUE UNIT PUMP MODULE,BLOCKAGE,PUMP,0.0,133.0," DAMAGE TYPE  INDUCEMENT AND ENGINE LIGHT ON   CAUSE ADBLUE PUMP BLOCKAGE   CORRECTION DIAGNOSIS , UDST TEST CONTROLS IMP. ADBLUE BY WIZARD, FILLING AND UNBLOCKING THE PUMP (ECO). ADBLUE REAGENT CHECK, ACCORDING TO UDST TEST, FAULT MEMORY CLEARED",{},N/A,N/A,N/A,N/A,N/A,N/A
KLACHT wagen gaan in noodloop en er brand een storing lampje OORZAAK roetfilter regenereert niet door sw fout CORRECTIE nieuwe software is in ontwikkeling i.o.m de helpdeks geregenereerd.,PARTICULATE TRAP,LOW OUTPUT/EFFICIENCY,CATALYTIC SILENCER,0.0,52.5,COMPLAINT  car goes into limp mode and a malfunction light comes on  CAUSE particulate filter does not regenerate due to SW error  CORRECTION  new software is under development in collaboration with the helpdesks.,{},N/A,N/A,N/A,N/A,N/A,N/A
SKARGA CZARNE PLAMY NA PRZEWODZIE INTERCOOLERA CPRZ PEKNIETY PRZEWOD INTERCOOLERA KORECTA WYMIANA PRZEWODU INTERCOOLERA,SLEEVES,BREAK,RUBBER SLEEVE,2.0,110.277894,COMPLAINT  BLACK STAINS ON THE INTERCOOLER HOSE  CPRZ BROKEN INTERCOOLER HOSE  CORRECTION  INTERCOOLER HOSE REPLACEMENT,{},N/A,N/A,N/A,N/A,N/A,N/A
"INCIDENT VEHICULE EN PANNE A CROISSY BEAUBOURG NE DEMARRE PAS 
APPEL ANS 8001885281 CAUSE DEPLACEMENT DU GGE CPF DEPANNAGE A CROISSY 
BEAUBOURG.CONTROL E DU CIRCUIT DE DEMARRAGE.TEST DE LA 
BATTERIE AVEC EASYBATT. TEST INDIQ UE BATTERIE A 
REMPLACER.BATTERIE HS SOLUTION REMPLACEMENT DE LA BATTERIE PAR LE GGE CPF 
DEPANNAGE.CONTROLE OK",ANS 24 HOURS,MISCELLANEOUS,BATTERY,0.0,704.0,"INCIDENT  VEHICLE IN BREAKDOWN IN CROISSY BEAUBOURG DOES NOT START 
CALL ANS 8001885281 CAUSE  TRAVEL OF THE GGE CPF TROUBLESHOOTING TO CROISSY 
BEAUBOURG.CHECKING THE STARTING CIRCUIT.TESTING THE 
BATTERY WITH EASYBATT. TEST INDICATED BATTERY A 
REPLACE HS BATTERY SOLUTION  REPLACING THE BATTERY WITH THE GGE CPF 
TROUBLESHOOTING.CHECK OK",{},N/A,N/A,N/A,N/A,N/A,N/A
