DealerComment,Component,Failure,DefectivePart,PartsReplaced,Cost
"******************************SICAYET********************************* Gaz kesiyor ********************************NEDEN********************************* Mazot filtresi sensöründe kısa devre var yakıt sıcaklığı uyarısı veriyor. 
Araç korumaya alıyor. ******************************YAPILANIS******************************* Mazot filtresi sensörü değiştirildi.",WATER IND SENSOR,SHORT CIRCUIT,SENSOR,1.0,47.881579
"* ******************************REKL************************************ Navi teilweise ohne Funktion und hÄngt sich auf * ********************************GRUND******************************** Navi Update verfÜgbar * ******************************KORRECTUR******************************* Navi ÜberprÜft, Navi/Radio neu programmiert",DAB RADIO BLUETOOTH,NO WARNING,MONITOR,1.0,107.0
* ******************************REKL************************************ SOFTWARE EPS FEHLERHAFT * ********************************GRUND******************************** SOFTWARE EPS FEHLERHAFT * ******************************KORRECTUR******************************* NEUE SOFTWARE EPS PER TELESERVICE PROGRAMMIEREN,ELE./MECH/POWER STEERING,DEFECTIVE CONTACTS,POWER STEERING,0.0,92.0
"******************************REKL************************************ BEANSTANDUNG: VERSCHIEDENE FEHLERMELDUNGEN 
IM DISPLAY - PRUEFEN ********************************GRUND********************************* DIAGNOSE UDT, FEHLERMELDUNGEN VERURSACHT 
DURCH KITAS SENSOR ******************************KORRECTUR******************************* BODY-COMPUTER, LDWS-ANLAGE-, BREMSANLAGE-, 
SCR-, UND EDC-ANLAGE PRUEFEN, 
FAHRTENSCHREIBER GEBER A/E, ERNEUERN, 
DADURCH FAHRTENSCHREIBER PRUEFUNG 
ERFORDERLICH, FEHLERSPEICHER LOESCHEN, 
",TACHOGRAPH SENDER,INCORRECT RUNNING SPEED,PULSE GENERATOR,3.0,503.63
"******************************REKL************************************ Notruf ICC vom 23.02.2022 19:36 Uhr
Dossiernr. 8001705782 ********************************GRUND********************************* Fahrzeug hat einen Kühlmittelverlust. ******************************KORRECTUR******************************* 98 km Fahrt mit WW zum Pannenort A4 Richtung Erfurt auf dem Rastplatz 
Werratal",ANS 24 HOURS,MISCELLANEOUS,WATER PIPE,0.0,430.9
* ******************************REKL************************************ Fahrzeug startet nicht * ********************************GRUND******************************** Fahrzeug startet nicht * ******************************KORRECTUR******************************* Montagefahrt nach LÜbeck-TravemÜnde/zum Hafenplatz 1 102 Kilometer,ANS 24 HOURS,MISCELLANEOUS,EARTH WIRE,0.0,354.3
* ******************************REKL************************************ ROSTBILDUNG UNTERFAHRSCHUTZ * ********************************GRUND******************************** ROSTBILDUNG UNTERFAHRSCHUTZ * ******************************KORRECTUR******************************* ROSTBILDUNG UNTERFAHRSCHUTZ UNTERFAHRSCHUTZ ERNEUERT,REAR BUMPER,UNEVEN PAINT,REAR APRON,15.0,299.36
******************************SKARGA********************************** Szum podczas jazdy ********************************CPRZ********************************** luz na łożysku koła P.P ******************************KORECTA********************************* w/z łożysko koła + spr. luzów na łożyskach kół osi przedniej,FRT AXLE WHEEL HUBS,TOO LOOSE/FLEXIBLE,WHEEL HUB SET,2.0,471.526317
******************************REKL************************************ FAHRZEUG STARTET NICHT ********************************GRUND********************************* FAHRZEUG ZUM SCHLEPPEN VORBEREITEN ******************************KORRECTUR******************************* FAHRZEUG EINSCHLEPPEN LASSEN,ANS 24H RECOVERY CHARGE,DEFECT,NOX SENSOR,0.0,744.5
"* ******************************TIPO_DANNO****************************** Spia candelette si accende - Cablaggio inefficiente - Diagnosi, s/r particolari per controllo e ripristino impianto elettrico * ********************************CAUSA********************************* Cablaggio inefficiente * ******************************CORREZIONE****************************** Diagnosi, s/r particolari per controllo e ripristino impianto elettrico",CABLES PREHEATING PLUGS,DEFECTIVE CONTACTS,INJECTOR CABLE,1.0,301.97
* ******************************REKL************************************ hecktÜrenverriegeln nivht Über ZV * ********************************GRUND******************************** HecktÜrkontakte eingelaufen * ******************************KORRECTUR******************************* HecktÜrkontake erneuert,REAR DOOR CONNECTION,DEFECTIVE CONTACTS,SLIDING CONTACT,2.0,111.04
"******************************SICAYET********************************* ARAÇTA HARARET MEVCUT ********************************NEDEN********************************* YAPILAN KONTROLLERDE ARACIN TERMOSFATI AŞI ISINDIĞINDAN 
DOLAYI GÖREVİNİ YERİNE GETİREMEDİĞİ TESPİT EDİLDİ ******************************YAPILANIS******************************* TERMOSFAT CONTA VE HARARET MÜŞÜRİ DEĞİŞTRİLDİ.ARIZA 
GİDERİLDİ",THERMOSTAT BODY,OVERHEATING,THERMOSTAT BODY,3.0,29.7636
* ******************************INCIDENT******************************** PORTE ARRIERE NE S'OUVRE PLUS * ********************************CAUSE********************************* BLOCAGE DE LA SERRURE DE PORTE ARRIERE * ******************************SOLUTION******************************** REMPLACEMENT SERRURE DE PORTE ARRIERE ET REGLAGE DES PORTES,LOCKS,BLOCKAGE,DOOR LOCK,1.0,105.41
"******************************COMPLAINT******************************* VEHICLE DO NOT START ********************************CAUSE********************************* ALTENATOR DO NOT CHARGE BATTERY , STATER 
DEFECTIVEAND DO NOT CHARGE BATTERY ******************************CORRECTION****************************** REPLACE ALTENATOR AND V BELT",ALTERNATOR ASSEMBLY,DEFECT,ALTERNATOR,2.0,317.953925
"******************************SKARGA********************************** SPRAWD± SILNIK ********************************CPRZ********************************** usterka z·acza czujnika cisnienia ukladu wydechowego, 
przewody pneumatyczne zanieczyszczone sadza ******************************KORECTA********************************* Naprawa zlacza instalacji czujnika, czyszczenie uukladu 
pneumatycznego",AD-BLUE SYSTEM CABLING,DEFECTIVE CONTACTS,WIRE/CABLE,1.0,90.349475
******************************Fejl************************************ Melder fejl på motorlampe og andre lamper ********************************Årsag********************************* Testerpå og fejl udlæst. fejl på h. bagerste abs sensor ******************************Rettelse******************************** H. bagerste abs sensor udsk.,SENSOR,DEFECTIVE CONTACTS,SENSOR,1.0,289.718499
"******************************REKL************************************ immer wieder ausfall aebs, tempomat asr etc ********************************GRUND********************************* radarsenspr lose vorne in der stoßstange, dadrch verstellt und arbeitet nicht 
richtig ******************************KORRECTUR******************************* radrsensor neu befestiegt, korrekt ausgerischtet, kalibrierfahrt ausgiebe 
fahrt 70km durchgeführt und korrekte postion zu finden",ACC SENSOR,LOOSE RETAINER,SENSOR,0.0,399.0
"******************************REKL************************************ Beleuchtung am Fz.-Anhänger ohne Funktion ********************************GRUND********************************* Wassereintritt im Stecker von der Anhängersteckdose zum 
Steuergerät ******************************KORRECTUR******************************* Reinigung und Trockner vom Stecker ohne Erfolg.
Anhängersteckdose erneuert und Funktionsproben durchführen.
",ECU 13-PIN SOCKET TRAILER,DEFECTIVE CONTACTS,WIRE/CABLE,1.0,134.471154
******************************COMPLAINT******************************* PRI ORPAVE ZJISTEN UNIK CHLADICI KAPALINY ********************************CAUSE********************************* NETESNY CHLADIC VODY ZE ZADNI STRANY ******************************CORRECTION****************************** VYMENA,RADIATOR,BREAK,WATER RADIATOR REMAN,1.0,226.15
******************************COMPLAINT******************************* AMBER EML LIGHT ON DASH ********************************CAUSE********************************* SHORT CIRCUIT ON WIRING TO ADBLUE SENSOR ******************************CORRECTION****************************** REPAIR WIRING TO ADBLUE SENSOR,CHASSIS LOOM,SHORT CIRCUIT,FRAME WIRING,0.0,126.104651
"******************************SICAYET********************************* MÜŞTERİMİZ SERVİSİMİZE ARIZA LAMBASI YANIYOR ARAÇTA 
ÇEKİŞ DÜŞÜKLÜĞÜ VAR ŞİKAYETİ İLE GELMİŞTİR. ********************************NEDEN********************************* ARAÇ UDT İLE KONTROL EDİLDİĞİNDE DPF AŞAĞI İŞLETİM 
YÖNÜNDEKİ ISI SENSÖRÜNDEN ARIZA VERDİĞİ GÖRÜLMÜŞTÜR. ******************************YAPILANIS******************************* ISI SENSÖRÜRÜ DEĞİŞTİRİLDİ ARIZA GİDERİLDİ.",TEMPERATURE SENSOR,SHORT CIRCUIT,EXH.GAS TEMP. SENSOR,1.0,28.382
******************************REKL************************************ ICT Software-Update ********************************GRUND********************************* Notwendig ******************************KORRECTUR******************************* durchgeführt via Teleservice,BODY COMPUTER,SUNDRY,ECU-BODY COMPUTER,0.0,52.5
"* ******************************COMPLAINT******************************* DOORS WILL NOT LOCK * ********************************CAUSE********************************* CHECK CENTRAL LOCKING, LOCATE SHORT AT WIRING PIN CONNECTION AND FUSE BLOWN. * ******************************CORRECTION****************************** 769112100 TO LOCATE AND REPAIR WIRING CONNECTION, REPLACE BLOWN FUSE.",CHASSIS LOOM,SHORT CIRCUIT,TERMINAL,2.0,62.732559
"******************************COMPLAINT******************************* LANE DEPARTURE WARNING ON DASH ********************************CAUSE********************************* CARRIED OUT INVESTIGATIONS- PLUG IN UDT AND FOUND NO 
COMMUNICATIONS WITH ECU- CHECKED VOLTAGE ALL OK- 
CHECKED ALL WIRING- WIRING ALL OK- INTERNAL FAILURE TO 
CAMERA ******************************CORRECTION****************************** REPLACED WITH NEW- CARRIED OUT CALBRATION AND 
TOOK 
VEHICLE ON EXTENDED ROAD TEST

-EXTRA LABOUR (SEE ATTACHED) NORTHERN 
COMMERCIALS 
WHERE THE ORIGINAL ATTENDING DEALER ON DOSSIER 
723452",REAR TV CAMERA,INTERFERENCE,TV-CAMERA,1.0,1064.116279
"* ******************************REKL************************************ MOTORKONTROLLE AKTIV * ********************************GRUND******************************** MOTORKONTROLLE AKTIV: AD BLUE LEITUNG AM DOSSIERER LOSE/UNDICHT * ******************************KORRECTUR******************************* MOTORKONTROLLE AKTIV: AD BLUE LEITUNG AM DOSSIERER LOSE/UNDICHT . SCHADENSBEFUND FESTGELEGT, LEITUNG A/E UND ABGEDICHTET, BEREICH GE REINIGT",PIPES AD-BLUE,FLUID LEAKS,DELIVERY LINE,0.0,138.0
******************************SKARGA********************************** ZAPALA SI­ KONTROLKA SILNIKA ********************************CPRZ********************************** NIEDRO®NY PRZEWOD CZUJNIKA DELTA P ******************************KORECTA********************************* UDROZNIEIE PRZEWODU ZYJNIKA DELTA P,PARTICULATE AIR TRAP SYS.,LOW OUTPUT/EFFICIENCY,PIPE,0.0,78.131992
"* ******************************SKARGA********************************** POJAZD NIE MO®E ODPALIä Nie dziala kluczyk , a kluczyk zapasowy klient ma w Hola * ********************************CPRZ********************************** WADA PRODUKTU WEWNETRZNE WADLIWE DZIA ANIE KLUCZYKA NIE MO®NA ZAPROGRAMOWAä NIE IMMO NIE CZYTA KLUCZ * ******************************KORECTA********************************* WYMIANA KLUCZYKA",IGNITION KEY,DEFECT,TOOLS OF IGNITION,1.0,169.176734
"* ******************************SKARGA********************************** ul. Lukowska 6 - 64-600 Oborniki, Poland * ********************************CPRZ********************************** DOJAZD NA MIEJSCE AWARII ORAZ POWROT RAZEM 92KM * ******************************KORECTA********************************* DOJAZD NA MIEJSCE AWARII ORAZ POWROT RAZEM 92KM",ANS 24 HOURS,MISCELLANEOUS,LV BATTERY CABLE,0.0,82.326622
"******************************COMPLAINT******************************* diagnoza - martor abs prezent in bord ********************************CAUSE********************************* senzor abs axa fata dr defect, necesar inlocuire ******************************CORRECTION****************************** inlocuit senzor abs axa fata dr",SENSOR,DEFECT,SENSOR,1.0,26.541752
* ******************************REKL************************************ FZG GEHT NACH DEM STARTEN GLEICH WIEDER AUS BEF INST * ********************************GRUND******************************** FZG GEHT NACH DEM STARTEN GLEICH WIEDER AUS // VERALTETE SOFTWARE AB WERK * ******************************KORRECTUR******************************* DIAGNOSE MIT UDT ; GEFUEHRTES VERFAHREN ABGEARBEITET ; RELAIS UND SICHERUNG UND VERKABELUNG IM MOTORRAUM GEPRUEFT ; STARTANLAGE KOMP LETT DURCHGEMESSEN ; VERKLEIDUNG ARMATURENBRETT FAHRERSEITE A+E ; AUF ANWEISUNG THD EINE WEITERES GEFUEHRTES VERFAHREN ABGEARBEI TET ; STEUERGERAETE GEPRUEFT ; PROGRAMMIERUNG UEBER TLS - NEUESTE VERSION,ENGINE DRIVE CONTR.UNIT,"CONTROL,VERIFICATION",ELECTR. CONTR. UNIT,0.0,487.8
* ******************************SKARGA********************************** LUZ NA KONCOWKACH DRAZKOW REAKCYJNYCH DOLNYCH PRAWEGO I LEWEGO * ********************************CPRZ********************************** KONCOWKI DRAZKOW REAKCYJNYCH * ******************************KORECTA********************************* WYMIANA KONCOWEK DRAZKOW REAKCYJNYCH DOLNYCH PRAWEGO I LEWEGO,TIE-ROD BALL JOINTS,DEFECT,JOINT FITTING,4.0,213.111579
* ******************************TIPO_DANNO****************************** ALETTA PARASOLE DX NON TIENE LA POSIZIONE * ********************************CAUSA********************************* ALETTA PARASOLE DX NON TIENE LA POSIZIONE * ******************************CORREZIONE****************************** ALETTA PARASOLE DX NON TIENE LA POSIZIONE,SUN VISORS,COLLAPSED,SUN ROOF,1.0,62.74
******************************REKL************************************ SCHALTHEBEL BEFESTIGUNG GEBROCHEN ********************************GRUND********************************* SCHALTHEBEL BEFESTIGUNG GEBROCHEN ******************************KORRECTUR******************************* SCHALTHEBEL ERN,LEVER SUPPORT TRIM,BROKEN RETAINER,LEVER KNOB,1.0,71.3
"******************************SKARGA********************************** DYM Z POD MASKI, WYSOKA TEMPERATURA SILNIKA, BRAK 
WYCIEKéW ********************************CPRZ********************************** ZABLOKOWANY ELEKTROWENTYLATOR ******************************KORECTA********************************* WYMIANA ELEKTROWENTYLATORA",WATER PUMP DRIVE PULLEY,BLOCKAGE,VENTILATOR CONTRO,1.0,398.966443
"******************************REKL************************************ Start Stopp Schalter Probleme bei er Funktion ********************************GRUND********************************* Kabelverbindung gestÍrt ******************************KORRECTUR******************************* Paramter geprÜft, Fehlerspeicher gelÍscht, KA 000005289 bearbeitet und 
div Verbindungen gelÍst, geprÜft dazu Verkleidiungen a+e, Bat terie geprÜft",CONNECTIONS,DEFECTIVE CONTACTS,DASHBOARD WIRING,0.0,262.2
"******************************COMPLAINT******************************* Huruit la rulare mai ales in vitezele inferioare ********************************CAUSE********************************* Zgomotul a fost identificat ca provenienta din interiorul 
cutie de viteze. S-a demontat si dezasamblat cutia de 
viteze.Rulmentul de sbu prinza este defect. Cementarea 
de pe el a contaminat uleiul cutiei de viteze, afectand si 
alte piese componente ******************************CORRECTION****************************** Necesar inlocuire cutie viteze",INPUT SHAFT BEARINGS,DEFECT,ROLLER CAGE,4.0,3229.613034
"******************************COMPLAINT******************************* Driver was complaining that reverse buzzer is not working. ********************************CAUSE********************************* After inspection we found that buzzer is scored and need to be 
replaced.
 ******************************CORRECTION****************************** We replaced scored part with new one.",BUZZERS,SCORED,INDICATOR,1.0,29.3
"* ******************************COMPLAINT******************************* Loss of fuel * ********************************CAUSE********************************* Fuel pipe split at fuel filter * ******************************CORRECTION****************************** Replaced fuel pipe , Wash and road test",FUEL INLET PIPE,CRACKED,FUEL LINE,2.0,147.430233
"* ******************************TIPO_DANNO****************************** AVARIA A MOTORE ACCENSSIONE SPIE DOSSIER 8001798325 * ********************************CAUSA********************************* FISSAGGIO LENTO POLO NEGATIVO BATTERIA * ******************************CORREZIONE****************************** CONTROLLO IMPIANTO ELETTRICO, CANCELLAZIONI ERRORI, SOSTITUZIONE POLO NEGATIVO BATTERIA",CABLE TERMINAL,LOOSE RETAINER,LV BATTERY CABLE,1.0,53.7
"******************************SICAYET********************************* debriyaj takılı kalıyor. ********************************NEDEN********************************* yapılan servis kontrolünde aracın debriyaj merkezinin bağlantı 
uç plastiğinin deforme olduğu ve bu nedenle takılı kaldığı 
görüldü. ******************************YAPILANIS******************************* debriyaj merkezi değişti.arıza giderildi.",CLUTCH SYS TANK AND PUMP,DEFORMED,KIT-HYDRAULIC CYL,1.0,79.858772
* ******************************REKL************************************ SEITLICHE POSITIONSLEUCHTE AUSGEFALLEN * ********************************GRUND******************************** KONTAKTPROBLEM BZW KEIN DURHGANG DER SCHLEIFKONTAKTE * ******************************KORRECTUR******************************* PRUEFUNG DER VERKABELUNG SOWIE SPANNUNGSVERSORGUNGEN; ERSATZ DER SCHLEIFKONTAKTE,DOOR CONN. FIXED PART,SHORT CIRCUIT,SLIDING CONTACT,2.0,252.73
"******************************Klgomål******************************** Warning on DIP and reduced power ********************************Orsak********************************* Wiring in hose to AD-blue broken. ******************************Ändring********************************* Fault finding, read out fault codes and warning on heater wiring in hose to 
AD-blue defekt. Meassuring 1,8 M OHM. Change hose and test al ok.",PIPES AD-BLUE,BREAK,DELIVERY LINE,1.0,253.85
"******************************COMPLAINT******************************* Svítí závada EDC. ********************************CAUSE********************************* Diagnostika, řízený postup - vadný snímač pevných částic ******************************CORRECTION****************************** Výměna",PARTICULATE SENSOR,DEFECT,PM SENSOR,1.0,211.5
"* ******************************RECLAMO******************************* REVISAR AIRE ACONDICIONADO,NO FUNCIONA * ********************************CAUSA********************************* CONDENSADORA ROTA * ******************************SOLUCION****************************** REVISAR A/AC, NO FUNCIONA, REVISAR FUGAS Y VERIFICAR FUGA POR CONDENSADORA DESMONTAR Y SUSTIUTIR CONDENSADORA EFECTUAR VACIO Y RECA RGA DE GAS R134A",CONDENSOR,BREAK,AIR COND.CONDENSER,2.0,520.3
"******************************SKARGA********************************** Zanieczyszczenie, wtracenie na lakierze klapka wlewu AdBlue ********************************CPRZ********************************** Wada fabryczna powloki lakierniczej ******************************KORECTA********************************* Przelakierowanie klapki wlewu",AD-BLUE TANK DOOR,"DIRT,FOREIGN MATTERS",FLAP/COVER,0.0,87.382551
* ******************************TIPO_DANNO****************************** FAILUREDESCR * ********************************CAUSA********************************* CAUSEDESCR * ******************************CORREZIONE****************************** CORRECTIONDESCR,CROWN WHEEL AND PINION,NOISE,BEVEL DRIVE,1.0,-1209.758389
* ******************************SKARGA********************************** KONTROLKA SILNIKA - OGRANICZENIE MOCY * ********************************CPRZ********************************** USZKODZONY PRZEWOD PODGRZEWACZA ADBLUE - ZLE PRZEWODZENIE ELEKTRYCZNE * ******************************KORECTA********************************* WYMIANA PRZEWODU PODGRZEWACZA ADBLUE,PIPES AD-BLUE,DEFECTIVE CONTACTS,DELIVERY LINE,1.0,97.733781
* ******************************TIPO_DANNO****************************** SPIA PORTELLONE SEMPRE ACCESA * ********************************CAUSA********************************* CONNESSIONI IN CORTO * ******************************CORREZIONE****************************** SOSTITUZIONE CONNESSIONI PORTA SCORREVOLE,REAR DOOR CONNECTION,SHORT CIRCUIT,CONNECTION,2.0,56.47
"* ******************************REKL************************************ VENTILDECKEL VERKLEIDUNG LOSE * ********************************GRUND******************************** LAGERUNG DER VENTILDECKELABDECKUNG AUSGESCHLAGEN * ******************************KORRECTUR******************************* LUFTFILTER A&E, VENTILDECKELABDECKUNG A&E. LAGERUNG DER VENTILDECKELABDECKUNG ERNEUERT",ROCKER TOP COVER,LOOSE RETAINER,RUBBER PLUG,1.0,68.67
"******************************KLACHT********************************** lichte gasgeur ********************************OORZAAK******************************* gasleiding lekt ******************************CORRECTIE******************************* demonteren afscherming, controleren gasflessen, zoeken met snuffelaar 
(ECONOMY) aanspannen leiding eerste cng-tank, controle ok",HIGH PRESSURE HOSE,FUEL LEAKS,FUEL LINE,0.0,58.23
"******************************RECLAMO******************************* REVISAR GANCHO DE CERRADURA DE PUERTA DERECHA 
ROTO. ********************************CAUSA********************************* CERRADURA DE PUERTA DERECHA ROTO. ******************************SOLUCION****************************** REPARAR MARCO DE PUERTA, ROTURA CERRADURA DE 
PUERTA GANCHO ROTO.",SIDE WALL,BREAK,SIDE PANEL,0.0,190.0
"* ******************************SKARGA********************************** BRAK MOCY, NIE DZIA A TURBO, DU®O PALI, * ********************************CPRZ********************************** WADLIWY KONTAKT CZUJNIKA CISNIENIA DOLADOWANIA * ******************************KORECTA********************************* DIAGNOZA, WYMIANA CZUJNIKA CISNIENIA DOLADOWANIA",AIR TEMPERATURE SENSOR,DEFECTIVE CONTACTS,PRESSURE SWITCH,1.0,54.814317
******************************COMPLAINT******************************* DEPANNAGE TE AARTSELAAR (58KM) ********************************CAUSE********************************* DEPANNAGE TE AARTSELAAR (58KM) ******************************CORRECTION****************************** DEPANNAGE TE AARTSELAAR (58KM),ANS 24 HOURS,MISCELLANEOUS,SLIDING DOOR,38.0,283.32
* ******************************INCIDENT******************************** VEHICULE AMENE PAR LE CLIENT/SUR SA DEPANNEUSE CAR ROUES AR BLOQUEES * ********************************CAUSE********************************* FREIN DE PARK ELECTRIQUE BLOQUE * ******************************SOLUTION******************************** APRES CONTROLE ET PROCEDURE GUIDEE C0023-29/REMP CAOTEYR OEDAKE DE FREIN/CONTROLE APRES TRAVAUX OK,STOP LIGHT SWITCH,SHORT CIRCUIT,STOP LIGHT SWITCH,2.0,103.23
* ******************************REKL************************************ 107249927 * ********************************GRUND******************************** CAUSEDESCR * ******************************KORRECTUR******************************* CORRECTIONDESCR,REAR AXLE ASSEMBLY,DEFECT,REAR AXLE/I,1.0,1149.09
* ******************************RECLAMO******************************* REVISAR A/AC NO ENFRIA EN PARADO * ********************************CAUSA********************************* COMPROBAR PRESIONES DE GAS A/C Y PERDIDAS DE GAS DETECTANDO CONDENSADOR FISURADO // SE SUSTITUYE CONDENSADOR A/C. * ******************************SOLUCION****************************** D-M CONJUNTO FILTRO AIRE VACIADO LIQUIDO REFRIG. D-M DEPOSITO EXPANSION LIQUIDO RADIADOR DESAIREACION Y RECARGA INSTALACION ACONDICI ONADOR D-M CONDENSADOR ACONDICIONADOR,CONDENSOR,CRACKED,AIR COND.CONDENSER,2.0,544.93
"******************************COMPLAINT******************************* martor motor, plus inducement activ, putere limitata ********************************CAUSE********************************* senzor NOX downstream defect ******************************CORRECTION****************************** Inlocuit senzor NOX downstream",NOX DETECTION SENSOR,DEFECT,SENSOR,1.0,221.657481
* ******************************SKARGA********************************** NIE WCHODZI 1/2 BIEG * ********************************CPRZ********************************** NIEWLASCIWA REGULACJA LINEK ZMIANY BIEGOW THD106891123 * ******************************KORECTA********************************* POPRAWNE USTAWIENIE LINEK ZMIANY BIEGOW THD106891123,GEAR CONTROL ROD ASSY,INCORRECT ADJUSTMENT,FLEXIBLE CONTROL,0.0,14.896842
* ******************************TIPO_DANNO****************************** ... VETRO CLUSTER ROTTO * ********************************CAUSA********************************* ...ROTTURA VETRO * ******************************CORREZIONE****************************** ...SOST CLUSTER E PROGRAMAMZIONE,INDICATORS INSTRUMENT,BREAK,CLUSTER,2.0,763.11
"******************************REKL************************************ KEINE MOTOR OELSTAND ANZEIGE ********************************GRUND********************************* MOTOR ENTLUEFTER BLOW-BY BLOCKIERT/DEFEKT ******************************KORRECTUR******************************* OELSTAND IM MOTOR KONTROLLIERT MOTOR OELDRUCK 
UEBERPRUEFT UND GEMESSEN KURBELGEHAEUSE DRUCK 
UEBERRPRUEFT MOTOR ENTLUEFTUNG ERNEUERT MOTOR 
WAESCHE DURCHGEFUEHRT",ENGINE BREATHER,BLOCKAGE,BREATHER,6.0,385.53
"******************************REKL************************************ Radio verliert Sender ********************************GRUND********************************* Radio reduzierte Leistung ******************************KORRECTUR******************************* Fehlersuche, DAB Radio erneuert und 
programmiert",DAB RADIO BLUETOOTH,LOW OUTPUT/EFFICIENCY,RADIO,2.0,901.39
