DealerComment,Component,Failure,DefectivePart,PartsReplaced,Cost,Translated_DealerComment,Cleaned_DealerComment,Classification
******************************COMPLAINT******************************* RECOVERY ********************************CAUSE********************************* RECOVERY ******************************CORRECTION****************************** RECOVERY,ANS 24H RECOVERY CHARGE,MISCELLANEOUS,TERMINAL,0.0,214.08046,******************************COMPLAINT******************************* RECOVERY ********************************CAUSE********************************* RECOVERY ******************************CORRECTION****************************** RECOVERY,COMPLAINT RECOVERY CAUSE RECOVERY CORRECTION RECOVERY,"{'Type of Failure': 0.1530236005783081, 'Cause of Failure: Design Flaw': 0.13519032299518585, 'Cause of Failure: Human Error': 0.13464918732643127, 'Cause of Failure: Material Issue': 0.13334515690803528, 'Number of Parts Replaced': 0.12821561098098755, 'Defective Component': 0.12587080895900726, 'Defective Part': 0.1070384532213211, 'Total Cost Incurred': 0.08266686648130417}"
"* ******************************REKL************************************ MOTORKONTROLLE LEUCHTET * ********************************GRUND******************************** KURZSCHLUSS AM HEIZVENTIL IN DER AD-BLUE LEITUNG * ******************************KORRECTUR******************************* FEHLERSUCHE UND ANLAGENDIAGNOSE, LEITUNG ERN, FEHLERSPEICHER NACH REP. AUSLESEN UND LOESCHEN",FILLER HOSE,SHORT CIRCUIT,DELIVERY LINE,1.0,308.94,"* ******************************RECL************************************ ENGINE CONTROL LIGHT LIGHTS UP * ********************************REASON******************************** SHORT CIRCUIT ON THE HEATING VALVE IN THE AD-BLUE CABLE * ******************************CORRECTION****************************** TROUBLESHOOTING AND SYSTEM DIAGNOSIS, REPLACE CABLE, READ AND DELETE ERROR MEMORY AFTER REP.","RECL ENGINE CONTROL LIGHT LIGHTS UP REASON SHORT CIRCUIT ON THE HEATING VALVE IN THE AD-BLUE CABLE CORRECTION TROUBLESHOOTING AND SYSTEM DIAGNOSIS, REPLACE CABLE, READ AND DELETE ERROR MEMORY AFTER REP.","{'Type of Failure': 0.19646169245243073, 'Defective Part': 0.19070880115032196, 'Defective Component': 0.18694347143173218, 'Cause of Failure: Design Flaw': 0.14664286375045776, 'Number of Parts Replaced': 0.1221148893237114, 'Cause of Failure: Material Issue': 0.07354975491762161, 'Cause of Failure: Human Error': 0.06643062084913254, 'Total Cost Incurred': 0.01714792661368847}"
******************************TIPO_DANNO****************************** PERDITA OLIO ********************************CAUSA********************************* ROTTURA PARAOLIO ALBERO MOTORE LATO CAMBIO FLANGIATO ******************************CORREZIONE****************************** SOST.PARAOLIO,CRANKSHAFT FRONT SEAL,BREAK,SHAFT SEAL,2.0,485.82,******************************DAMAGE TYPE******************************** OIL LEAK ******************************CAUSE************************************ BROKEN CRANKSHAFT OIL SEAL ON GEARBOX SIDE FLANGED ****************************** CORRECTION******************************** REPL. OIL SEAL,DAMAGE TYPE OIL LEAK CAUSE BROKEN CRANKSHAFT OIL SEAL ON GEARBOX SIDE FLANGED CORRECTION REPL. OIL SEAL,"{'Type of Failure': 0.21881383657455444, 'Cause of Failure: Material Issue': 0.20560547709465027, 'Defective Part': 0.13947181403636932, 'Defective Component': 0.1379065364599228, 'Cause of Failure: Human Error': 0.10712610930204391, 'Cause of Failure: Design Flaw': 0.0955117717385292, 'Number of Parts Replaced': 0.07240571826696396, 'Total Cost Incurred': 0.023158755153417587}"
"* ******************************REKL************************************ AD BLUE TANK ZUM QUALIT TSSENSOR UNDICHT ERN * ********************************GRUND******************************** AD BLUE TANK ZUM QUALIT TSSENSOR UNDICHT ERN * ******************************KORRECTUR******************************* AD BLUE TANK ZUM QUALIT TSSENSOR UNDICHT ERN , leider lÄst sich der neue Adblue Tank nicht prog Asist ist geschrieben",AD-BLUE TANK,FLUID LEAKS,TANK/RESERVOIR,2.0,1467.88,"* ******************************RECORD************************************ AD BLUE TANK LEAKING TO THE QUALITY SENSOR * ********************************REASON******************************** AD BLUE TANK LEAKING TO THE QUALITY SENSOR * ******************************CORRECTION****************************************** AD BLUE TANK LEAKING TO THE QUALITY SENSOR , unfortunately the new Adblue tank cannot be programmed. Assist is written","RECORD AD BLUE TANK LEAKING TO THE QUALITY SENSOR REASON AD BLUE TANK LEAKING TO THE QUALITY SENSOR CORRECTION AD BLUE TANK LEAKING TO THE QUALITY SENSOR , unfortunately the new Adblue tank cannot be programmed. Assist is written","{'Cause of Failure: Human Error': 0.1603817343711853, 'Defective Component': 0.15838780999183655, 'Cause of Failure: Design Flaw': 0.1554696261882782, 'Type of Failure': 0.14459675550460815, 'Defective Part': 0.14166852831840515, 'Cause of Failure: Material Issue': 0.1408461630344391, 'Number of Parts Replaced': 0.06675649434328079, 'Total Cost Incurred': 0.03189292550086975}"
"******************************SICAYET********************************* Gaz kesiyor ********************************NEDEN********************************* Mazot filtresi sensöründe kısa devre var yakıt sıcaklığı uyarısı veriyor. 
Araç korumaya alıyor. ******************************YAPILANIS******************************* Mazot filtresi sensörü değiştirildi.",WATER IND SENSOR,SHORT CIRCUIT,SENSOR,1.0,47.881579,"******************************TEMPERATURE********************************* It cuts off gas *********************************WHY****************************** There is a short circuit in the diesel filter sensor, it gives a fuel temperature warning. 
The vehicle takes protection. ******************************DOCUMENTATION*************************** The diesel filter sensor has been replaced.","TEMPERATURE It cuts off gas WHY There is a short circuit in the diesel filter sensor, it gives a fuel temperature warning. The vehicle takes protection. DOCUMENTATION The diesel filter sensor has been replaced.","{'Defective Component': 0.26042550802230835, 'Defective Part': 0.21841424703598022, 'Type of Failure': 0.17929251492023468, 'Number of Parts Replaced': 0.14324980974197388, 'Cause of Failure: Design Flaw': 0.11424973607063293, 'Cause of Failure: Human Error': 0.041251495480537415, 'Cause of Failure: Material Issue': 0.023509234189987183, 'Total Cost Incurred': 0.019607441499829292}"
"* ******************************REKL************************************ Navi teilweise ohne Funktion und hÄngt sich auf * ********************************GRUND******************************** Navi Update verfÜgbar * ******************************KORRECTUR******************************* Navi ÜberprÜft, Navi/Radio neu programmiert",DAB RADIO BLUETOOTH,NO WARNING,MONITOR,1.0,107.0,"* ******************************RECL************************************ Navi partially not working and freezes * ********************************REASON******************************** Navi update available * ******************************CORRECTION******************************* Navi checked, Navi/Radio reprogrammed","RECL Navi partially not working and freezes REASON Navi update available CORRECTION Navi checked, Navi/Radio reprogrammed","{'Type of Failure': 0.15851981937885284, 'Defective Component': 0.15423139929771423, 'Cause of Failure: Material Issue': 0.14870169758796692, 'Cause of Failure: Human Error': 0.1400807648897171, 'Cause of Failure: Design Flaw': 0.13828469812870026, 'Defective Part': 0.13168008625507355, 'Number of Parts Replaced': 0.08842829614877701, 'Total Cost Incurred': 0.04007326439023018}"
* ******************************REKL************************************ SOFTWARE EPS FEHLERHAFT * ********************************GRUND******************************** SOFTWARE EPS FEHLERHAFT * ******************************KORRECTUR******************************* NEUE SOFTWARE EPS PER TELESERVICE PROGRAMMIEREN,ELE./MECH/POWER STEERING,DEFECTIVE CONTACTS,POWER STEERING,0.0,92.0,* ******************************RECL************************************ SOFTWARE EPS FAULTY * ********************************REASON******************************** SOFTWARE EPS FAULTY * ******************************CORRECTION****************************** PROGRAM NEW SOFTWARE EPS VIA TELESERVICE,RECL SOFTWARE EPS FAULTY REASON SOFTWARE EPS FAULTY CORRECTION PROGRAM NEW SOFTWARE EPS VIA TELESERVICE,"{'Type of Failure': 0.1649700254201889, 'Cause of Failure: Design Flaw': 0.15596359968185425, 'Defective Part': 0.15177661180496216, 'Defective Component': 0.15089720487594604, 'Cause of Failure: Material Issue': 0.14194481074810028, 'Cause of Failure: Human Error': 0.0959646925330162, 'Number of Parts Replaced': 0.07265131175518036, 'Total Cost Incurred': 0.06583181768655777}"
"******************************REKL************************************ BEANSTANDUNG: VERSCHIEDENE FEHLERMELDUNGEN 
IM DISPLAY - PRUEFEN ********************************GRUND********************************* DIAGNOSE UDT, FEHLERMELDUNGEN VERURSACHT 
DURCH KITAS SENSOR ******************************KORRECTUR******************************* BODY-COMPUTER, LDWS-ANLAGE-, BREMSANLAGE-, 
SCR-, UND EDC-ANLAGE PRUEFEN, 
FAHRTENSCHREIBER GEBER A/E, ERNEUERN, 
DADURCH FAHRTENSCHREIBER PRUEFUNG 
ERFORDERLICH, FEHLERSPEICHER LOESCHEN, 
",TACHOGRAPH SENDER,INCORRECT RUNNING SPEED,PULSE GENERATOR,3.0,503.63,"******************************RECLASS******************************** COMPLAINT: VARIOUS ERROR MESSAGES 
IN THE DISPLAY - CHECK ********************************REASON********************************* DIAGNOSIS UDT, ERROR MESSAGES CAUSED 
BY KITAS SENSOR ****************************** CORRECTION ****************************** CHECK BODY COMPUTER, LDWS SYSTEM, BRAKE SYSTEM, 
SCR, AND EDC SYSTEM, 
REPLACE TACHOGRAPH SENSOR A/E, 
THEREFORE TACHOGRAPH TEST REQUIRED, ERASE ERROR MEMORY,","RECLASS COMPLAINT: VARIOUS ERROR MESSAGES IN THE DISPLAY - CHECK REASON DIAGNOSIS UDT, ERROR MESSAGES CAUSED BY KITAS SENSOR CORRECTION CHECK BODY COMPUTER, LDWS SYSTEM, BRAKE SYSTEM, SCR, AND EDC SYSTEM, REPLACE TACHOGRAPH SENSOR A/E, THEREFORE TACHOGRAPH TEST REQUIRED, ERASE ERROR MEMORY,","{'Number of Parts Replaced': 0.24020136892795563, 'Type of Failure': 0.16731126606464386, 'Defective Component': 0.1345672607421875, 'Defective Part': 0.11892366409301758, 'Cause of Failure: Design Flaw': 0.1158658042550087, 'Cause of Failure: Human Error': 0.10035689920186996, 'Cause of Failure: Material Issue': 0.09012838453054428, 'Total Cost Incurred': 0.03264534845948219}"
"******************************REKL************************************ Notruf ICC vom 23.02.2022 19:36 Uhr
Dossiernr. 8001705782 ********************************GRUND********************************* Fahrzeug hat einen Kühlmittelverlust. ******************************KORRECTUR******************************* 98 km Fahrt mit WW zum Pannenort A4 Richtung Erfurt auf dem Rastplatz 
Werratal",ANS 24 HOURS,MISCELLANEOUS,WATER PIPE,0.0,430.9,"******************************RECL************************************ Emergency call ICC from February 23, 2022 7:36 p.m.
Dossier no. 8001705782 ******************REASON********************************* Vehicle has a coolant loss. ******************************CORRECTION****************************** 98 km drive with a caravan to the breakdown site A4 towards Erfurt at the rest area 
Werratal","RECL Emergency call ICC from February 23, 2022 7:36 p.m. Dossier no. 8001705782 REASON Vehicle has a coolant loss. CORRECTION 98 km drive with a caravan to the breakdown site A4 towards Erfurt at the rest area Werratal","{'Type of Failure': 0.2567153573036194, 'Cause of Failure: Material Issue': 0.2045993059873581, 'Cause of Failure: Human Error': 0.12526746094226837, 'Cause of Failure: Design Flaw': 0.12059414386749268, 'Defective Component': 0.11062243580818176, 'Defective Part': 0.10327817499637604, 'Number of Parts Replaced': 0.04934580251574516, 'Total Cost Incurred': 0.02957727760076523}"
* ******************************REKL************************************ Fahrzeug startet nicht * ********************************GRUND******************************** Fahrzeug startet nicht * ******************************KORRECTUR******************************* Montagefahrt nach LÜbeck-TravemÜnde/zum Hafenplatz 1 102 Kilometer,ANS 24 HOURS,MISCELLANEOUS,EARTH WIRE,0.0,354.3,* ******************************RECL************************************ Vehicle does not start * ********************************REASON******************************** Vehicle does not start * ******************************CORRECTION******************************* Assembly trip to LÜbeck-TravemÜnde/to Hafenplatz 1 102 kilometers,RECL Vehicle does not start REASON Vehicle does not start CORRECTION Assembly trip to LÜbeck-TravemÜnde/to Hafenplatz 1 102 kilometers,"{'Type of Failure': 0.20219139754772186, 'Cause of Failure: Material Issue': 0.16237634420394897, 'Cause of Failure: Human Error': 0.1506679654121399, 'Cause of Failure: Design Flaw': 0.12750370800495148, 'Defective Component': 0.11605188995599747, 'Defective Part': 0.10760559886693954, 'Number of Parts Replaced': 0.07323642075061798, 'Total Cost Incurred': 0.060366783291101456}"
* ******************************REKL************************************ ROSTBILDUNG UNTERFAHRSCHUTZ * ********************************GRUND******************************** ROSTBILDUNG UNTERFAHRSCHUTZ * ******************************KORRECTUR******************************* ROSTBILDUNG UNTERFAHRSCHUTZ UNTERFAHRSCHUTZ ERNEUERT,REAR BUMPER,UNEVEN PAINT,REAR APRON,15.0,299.36,* ******************************RECL************************************ RUST FORMATION UNDERRUN PROTECTION * ********************************REASON******************************** RUST FORMATION UNDERRUN PROTECTION * ******************************CORRECTION****************************** RUST FORMATION UNDERRUN PROTECTION UNDERRUN PROTECTION RENEWED,RECL RUST FORMATION UNDERRUN PROTECTION REASON RUST FORMATION UNDERRUN PROTECTION CORRECTION RUST FORMATION UNDERRUN PROTECTION UNDERRUN PROTECTION RENEWED,"{'Cause of Failure: Human Error': 0.1551564484834671, 'Cause of Failure: Material Issue': 0.15261176228523254, 'Cause of Failure: Design Flaw': 0.1518011838197708, 'Type of Failure': 0.1295735388994217, 'Defective Component': 0.12803643941879272, 'Number of Parts Replaced': 0.1207321286201477, 'Defective Part': 0.10803720355033875, 'Total Cost Incurred': 0.05405128747224808}"
******************************SKARGA********************************** Szum podczas jazdy ********************************CPRZ********************************** luz na łożysku koła P.P ******************************KORECTA********************************* w/z łożysko koła + spr. luzów na łożyskach kół osi przedniej,FRT AXLE WHEEL HUBS,TOO LOOSE/FLEXIBLE,WHEEL HUB SET,2.0,471.526317,******************************COMPLAINT************************************ Noise while driving *********************************CPRZ************************************ play in the P.P wheel bearing ********************************* CORRECTION********************************* w/z wheel bearing + check for play in the front axle wheel bearings,COMPLAINT Noise while driving CPRZ play in the P.P wheel bearing CORRECTION w/z wheel bearing + check for play in the front axle wheel bearings,"{'Defective Component': 0.1481405645608902, 'Defective Part': 0.1448514461517334, 'Cause of Failure: Design Flaw': 0.134551003575325, 'Number of Parts Replaced': 0.12791039049625397, 'Cause of Failure: Human Error': 0.12419812381267548, 'Type of Failure': 0.12090002745389938, 'Cause of Failure: Material Issue': 0.11701565980911255, 'Total Cost Incurred': 0.08243278414011002}"
******************************REKL************************************ FAHRZEUG STARTET NICHT ********************************GRUND********************************* FAHRZEUG ZUM SCHLEPPEN VORBEREITEN ******************************KORRECTUR******************************* FAHRZEUG EINSCHLEPPEN LASSEN,ANS 24H RECOVERY CHARGE,DEFECT,NOX SENSOR,0.0,744.5,******************************RECL************************************ VEHICLE WILL NOT START ********************************REASON************************************ PREPARE VEHICLE FOR TOWING ******************************CORRECTION****************************** HAVE VEHICLE TOWED,RECL VEHICLE WILL NOT START REASON PREPARE VEHICLE FOR TOWING CORRECTION HAVE VEHICLE TOWED,"{'Cause of Failure: Design Flaw': 0.17966383695602417, 'Cause of Failure: Human Error': 0.16594664752483368, 'Type of Failure': 0.1583288013935089, 'Cause of Failure: Material Issue': 0.14731355011463165, 'Defective Component': 0.13734246790409088, 'Defective Part': 0.12354154884815216, 'Number of Parts Replaced': 0.060175567865371704, 'Total Cost Incurred': 0.02768757939338684}"
"* ******************************TIPO_DANNO****************************** Spia candelette si accende - Cablaggio inefficiente - Diagnosi, s/r particolari per controllo e ripristino impianto elettrico * ********************************CAUSA********************************* Cablaggio inefficiente * ******************************CORREZIONE****************************** Diagnosi, s/r particolari per controllo e ripristino impianto elettrico",CABLES PREHEATING PLUGS,DEFECTIVE CONTACTS,INJECTOR CABLE,1.0,301.97,"* ******************************DAMAGE TYPE**************************** Glow plug warning light comes on - Inefficient wiring - Diagnosis, s/r parts for checking and restoring the electrical system * ******************************CAUSE******************************** Inefficient wiring * ******************************CORRECTION**************************** Diagnosis, s/r parts for checking and restoring the electrical system","DAMAGE TYPE Glow plug warning light comes on - Inefficient wiring - Diagnosis, s/r parts for checking and restoring the electrical system CAUSE Inefficient wiring CORRECTION Diagnosis, s/r parts for checking and restoring the electrical system","{'Type of Failure': 0.1762755662202835, 'Cause of Failure: Material Issue': 0.14959532022476196, 'Cause of Failure: Human Error': 0.1411174088716507, 'Defective Part': 0.13443805277347565, 'Cause of Failure: Design Flaw': 0.13383270800113678, 'Defective Component': 0.1271427869796753, 'Total Cost Incurred': 0.07235744595527649, 'Number of Parts Replaced': 0.06524072587490082}"
* ******************************REKL************************************ hecktÜrenverriegeln nivht Über ZV * ********************************GRUND******************************** HecktÜrkontakte eingelaufen * ******************************KORRECTUR******************************* HecktÜrkontake erneuert,REAR DOOR CONNECTION,DEFECTIVE CONTACTS,SLIDING CONTACT,2.0,111.04,* ******************************RECL************************************ Rear doors do not lock via central locking * ********************************REASON******************************** Rear door contacts worn * ******************************CORRECTION****************************** Rear door contacts renewed,RECL Rear doors do not lock via central locking REASON Rear door contacts worn CORRECTION Rear door contacts renewed,"{'Type of Failure': 0.17341972887516022, 'Defective Component': 0.16294974088668823, 'Cause of Failure: Design Flaw': 0.14401516318321228, 'Defective Part': 0.14374108612537384, 'Cause of Failure: Material Issue': 0.13806132972240448, 'Cause of Failure: Human Error': 0.10926581174135208, 'Number of Parts Replaced': 0.08648646622896194, 'Total Cost Incurred': 0.042060673236846924}"
