Component,Failure,DefectivePart,PartsReplaced,Cost,Translated_DealerComment,Label_1,Label_2,Label_3,Label_4,Label_5,Score_1,Score_2,Score_3,Score_4,Score_5
ENG.OIL PRESSURE SWITCH,DEFORMED,PRESSURE SWITCH,1.0,121.01342, COMPLAINT  INCREASING OIL LEVEL ON THE DIPPLUG   CPRZ oil leaks at the pressure sensor   CORRECTION  oil pressure sensor replacement,Type of Failure,Number of Parts Replaced,Defective Component,Defective Part,Material Failure,0.20411452651023865,0.19587922096252441,0.15652994811534882,0.13455909490585327,0.11647837609052658
AD-BLUE UNIT PUMP MODULE,BLOCKAGE,PUMP,0.0,133.0," DAMAGE TYPE  INDUCEMENT AND ENGINE LIGHT ON   CAUSE ADBLUE PUMP BLOCKAGE   CORRECTION DIAGNOSIS , UDST TEST CONTROLS IMP. ADBLUE BY WIZARD, FILLING AND UNBLOCKING THE PUMP (ECO). ADBLUE REAGENT CHECK, ACCORDING TO UDST TEST, FAULT MEMORY CLEARED",Type of Failure,Defective Component,Defective Part,Material Failure,Number of Parts Replaced,0.32607975602149963,0.16715466976165771,0.13322028517723083,0.11015799641609192,0.08667115122079849
PARTICULATE TRAP,LOW OUTPUT/EFFICIENCY,CATALYTIC SILENCER,0.0,52.5,COMPLAINT  car goes into limp mode and a malfunction light comes on  CAUSE particulate filter does not regenerate due to SW error  CORRECTION  new software is under development in collaboration with the helpdesks.,Type of Failure,Defective Component,Defective Part,Number of Parts Replaced,Material Failure,0.2674945592880249,0.22938816249370575,0.18423320353031158,0.08246694505214691,0.08241096138954163
SLEEVES,BREAK,RUBBER SLEEVE,2.0,110.277894,COMPLAINT  BLACK STAINS ON THE INTERCOOLER HOSE  CPRZ BROKEN INTERCOOLER HOSE  CORRECTION  INTERCOOLER HOSE REPLACEMENT,Type of Failure,Number of Parts Replaced,Defective Part,Material Failure,Defective Component,0.19378259778022766,0.1870923638343811,0.15622249245643616,0.13768963515758514,0.1261216551065445
ANS 24 HOURS,MISCELLANEOUS,BATTERY,0.0,704.0,"INCIDENT  VEHICLE IN BREAKDOWN IN CROISSY BEAUBOURG DOES NOT START 
CALL ANS 8001885281 CAUSE  TRAVEL OF THE GGE CPF TROUBLESHOOTING TO CROISSY 
BEAUBOURG.CHECKING THE STARTING CIRCUIT.TESTING THE 
BATTERY WITH EASYBATT. TEST INDICATED BATTERY A 
REPLACE HS BATTERY SOLUTION  REPLACING THE BATTERY WITH THE GGE CPF 
TROUBLESHOOTING.CHECK OK",Type of Failure,Number of Parts Replaced,Defective Component,Defective Part,Material Failure,0.14895063638687134,0.1391703337430954,0.13047824800014496,0.1285310536623001,0.12550921738147736
CLUTCH SYS TANK AND PUMP,DEFECT,KIT-HYDRAULIC CYL,1.0,153.97, CLAIM  PLAY IN CLUTCH PEDAL   CAUSE PLAY IN CLUTCH PEDAL   SOLUTION  REPLACE CLUTCH PUMP AND CYLINDER,Number of Parts Replaced,Type of Failure,Material Failure,Defective Part,Defective Component,0.26883813738822937,0.17257684469223022,0.14000611007213593,0.10063902288675308,0.09631076455116272
ENGINE DRIVE CONTR.UNIT,DEFECTIVE CONTACTS,ECU-ENGINE,0.0,90.74, COMPLAINT  error message.  CAUSE  incorrect parameters in motor control box   CORRECTION reading of errors. e-time for checking plugs and wiring and sensors exhaust. forced regeneration performed. OK,Type of Failure,Defective Component,Defective Part,Material Failure,Number of Parts Replaced,0.24509502947330475,0.16091197729110718,0.1368471384048462,0.12833251059055328,0.11969336867332458
RADIATOR,LEVEL INCORRECT,PARAFLU11 CONCENTR.,3.0,20.31, INCIDENT  LIGHT ON  CAUSE  LOW LEVEL   SOLUTION RPL .COOLING LIQUID DRAIN,Type of Failure,Number of Parts Replaced,Material Failure,Defective Part,Defective Component,0.21200598776340485,0.18680594861507416,0.15159733593463898,0.10981936007738113,0.10850240290164948
REAR VAN DOORS,CRACKED,DOOR HINGE,11.0,1772.22,REKL  VAN REAR DOOR LEFT TORN  REASON DOOR HINGES BLOCKED AND DOOR TOO WEAK  CORRECTION  REPLACED,Type of Failure,Defective Part,Defective Component,Number of Parts Replaced,Material Failure,0.19343142211437225,0.15795478224754333,0.14730176329612732,0.14331568777561188,0.12054012715816498
PAD WEAR SENSOR,SHORT CIRCUIT,BRAKEWEARINDIC.EL.,1.0,50.93736, COMPLAINT  BRAKE INDICATOR   CPRZ BLOCKAGE IN ELECTRICAL INSTALLATION   CORRECTION  PAD SENSOR REPLACEMENT,Type of Failure,Defective Part,Defective Component,Material Failure,Number of Parts Replaced,0.2012544870376587,0.15232262015342712,0.14860601723194122,0.14328648149967194,0.14065702259540558
AXLE CASING COVER,DEFORMED,COVER,3.92,116.886317, COMPLAINT  oil leak covers rear axle   CPRZ deformation of the bridge cover - manufacturing defect   CORRECTION  Replacement of the rear axle cover,Defective Component,Defective Part,Material Failure,Type of Failure,Number of Parts Replaced,0.24107876420021057,0.1926933228969574,0.1761070042848587,0.15520426630973816,0.12551066279411316
KNUCKLE PINS+BUSHES,NOISE,SPRING SUPPORT,4.0,280.069705,"COMPLAIN  noise from rear axle CAUSE  spring bolts stuck in bushings and two bolts broken  CORRECTION  all spring bushings a/p and checked and loosened, as well as 2 
mounting bolts replaced",Number of Parts Replaced,Type of Failure,Defective Component,Defective Part,Material Failure,0.2766885459423065,0.1638028770685196,0.15250875055789948,0.13761073350906372,0.12419433891773224
HEATER PIPES,DEFECT,HEATING TUBE,3.0,210.259842, COMPLAINT  CHECKED ANTIFREEZE LOSSES  CAUSES  DEFECTIVE BOARD HEATER HOSE  CORRECTION REPLACED BOARD HEATER HOSE,Defective Component,Defective Part,Type of Failure,Number of Parts Replaced,Material Failure,0.2924920320510864,0.20427756011486053,0.1568002849817276,0.11143476516008377,0.07809832692146301
MULTI-CONDUCTOR PLUG,WATER INFILTRATION,WIRE/CABLE,1.0,130.09," REKL  TRAILER CONTROL ERROR MESSAGE   REASON MOISTURE TRAILER SOCKET   CORRECTION  DIAGNOSIS, TRAILER SOCKET ERN",Type of Failure,Material Failure,Defective Component,Defective Part,Number of Parts Replaced,0.26815035939216614,0.14971041679382324,0.135358527302742,0.12812304496765137,0.126128152012825
FLYWHEEL ASSEMBLY,INCORRECT CLEARANCE,FLYWHEEL,1.0,441.355263,"TEMPERATURE  the vehicle is shaking excessively when taking off.
The car shakes a lot when reversing. FROM WHERE  According to the examinations, there is a gap in the flywheel hub of the vehicle. 
It has been determined that the vehicle starts jerkily when taking off due to the gap. PROCEDURE  flywheel was replaced and the problem was resolved.

It is balanced due to the gap in the hub of the flywheel. from balance 
The flywheel should not be replaced because it creates vibration during the resulting movement. 
and the malfunction was resolved.",Number of Parts Replaced,Total Cost Incurred,Type of Failure,Human Error,Design Flaw,0.18816515803337097,0.12678377330303192,0.12256824970245361,0.11925007402896881,0.11655119061470032
ANS 24 HOURS,MISCELLANEOUS,RUBBER SLEEVE,0.0,307.32,TYPE DAMAGE  ANS 24H DOSSIER 8001762731  CAUSE  ANS 24H DOSSIER 8001762731  CORRECTION ANS 24H DOSSIER 8001762731,Type of Failure,Defective Component,Defective Part,Material Failure,Human Error,0.2653375267982483,0.21604230999946594,0.15703992545604706,0.11734335869550705,0.06751802563667297
TEMPERATURE SENSOR,SHORT CIRCUIT,SENSOR,1.0,47.479824,"TEMPERATURE  The vehicle's fault light is on  WHY According to the checks, the vehicle's exhaust temperature sensor was short circuited. 
has been detected. PROCEDURE  Exhaust temperature sensor changed, fault resolved",Defective Component,Defective Part,Type of Failure,Number of Parts Replaced,Material Failure,0.20688402652740479,0.17922739684581757,0.17014646530151367,0.11743532866239548,0.1125301942229271
VAN SLIDING DOOR,DEFORMED,SLIDING DOOR,8.0,596.59," DAMAGE TYPE  Doors open light always on - Side door falls when opened - S/R door. lat. for subs. of the daneng parties. and attempted squaring, work was unsuccessful, the vehicle was sent to the body shop  CAUSE  Side door opens   CORRECTION  S/R port. lat. for subs. of the daneng parties. and attempted balancing, work was unsuccessful, the vehicle was sent to the body shop at",Type of Failure,Defective Component,Defective Part,Material Failure,Human Error,0.167439803481102,0.1580280065536499,0.14105479419231415,0.13877885043621063,0.1053253710269928
BREATHER PIPING,SHORT CIRCUIT,SUCTION LINE,1.0,69.64421,COMPLAINT  AIR CONDITIONING IS NOT WORKING  CPRZ SHORT CIRCUIT IN THE PREMODEMENT HEATER  CORRECTION  REPLACING THE ODMY HEATER,Type of Failure,Number of Parts Replaced,Defective Component,Defective Part,Material Failure,0.20655229687690735,0.1795618087053299,0.1576153188943863,0.13506671786308289,0.1116284728050232
AIR CONDITIONER,DEFECT,FUSE,1.0,46.57,"REKL  AIR CONDITIONING, LIGHTING HEATING CONTROL PANEL, START
STOP AUTOMATIC WITHOUT FUNCTION REASON  FUSE BLOWN  CORRECTION RENEW FUSE",Type of Failure,Number of Parts Replaced,Defective Part,Defective Component,Material Failure,0.21349263191223145,0.19218923151493073,0.13927660882472992,0.1382705122232437,0.13327622413635254
