DealerComment,Component,Failure,DefectivePart,PartsReplaced,Cost,Translated_DealerComment,Cause_of_Failure,Human_error,Design_Flaw,Material,Defective Component,Defective Part,Type of Failure,Number of Parts Replaced,Total Cost Incurred,Cause of Failure: Human Error,Cause of Failure: Design Flaw,Cause of Failure: Material Issue
COMPLAINT RECOVERY CAUSE RECOVERY CORRECTION RECOVERY,ANS 24H RECOVERY CHARGE,MISCELLANEOUS,TERMINAL,0.0,214.08046,COMPLAINT RECOVERY CAUSE RECOVERY CORRECTION RECOVERY,"{'Type of Failure': 0.28400540351867676, 'Defective Component': 0.148854061961174, 'Defective Part': 0.14015015959739685, 'Number of Parts Replaced': 0.12229431420564651, 'Cause of Failure: Material Issue': 0.12112217396497726, 'Total Cost Incurred': 0.07030628621578217, 'Cause of Failure: Human Error': 0.061437904834747314, 'Cause of Failure: Design Flaw': 0.051829706877470016}",0,0,1,0,0,0,0,0,0,0,0
" REKL MOTORKONTROLLE LEUCHTET  GRUND KURZSCHLUSS AM HEIZVENTIL IN DER AD-BLUE LEITUNG  KORRECTUR FEHLERSUCHE UND ANLAGENDIAGNOSE, LEITUNG ERN, FEHLERSPEICHER NACH REP. AUSLESEN UND LOESCHEN",FILLER HOSE,SHORT CIRCUIT,DELIVERY LINE,1.0,308.94," REKL  ENGINE CHECK LIGHTS   REASON SHORT CIRCUIT ON THE HEATER VALVE IN THE AD-BLUE LINE   CORRECTION  TROUBLESHOOTING AND SYSTEM DIAGNOSIS, LINE ERN, ERROR MEMORY ACCORDING TO REP. READ AND DELETE","{'Number of Parts Replaced': 0.2131713181734085, 'Type of Failure': 0.1921849548816681, 'Defective Component': 0.13181687891483307, 'Defective Part': 0.1101301833987236, 'Cause of Failure: Material Issue': 0.10718457400798798, 'Total Cost Incurred': 0.08605097234249115, 'Cause of Failure: Design Flaw': 0.08388642966747284, 'Cause of Failure: Human Error': 0.07557471841573715}",0,0,1,0,0,0,0,0,0,0,0
TIPO DANNO PERDITA OLIO CAUSA ROTTURA PARAOLIO ALBERO MOTORE LATO CAMBIO FLANGIATO CORREZIONE SOST.PARAOLIO,CRANKSHAFT FRONT SEAL,BREAK,SHAFT SEAL,2.0,485.82,"DAMAGE TYPE  OIL LEAK CAUSE  BROKEN CRANKSHAFT OIL SEAL, FLANGED GEAR SIDE  CORRECTION REPLACE OIL SEAL","{'Type of Failure': 0.2192823439836502, 'Defective Component': 0.17624014616012573, 'Cause of Failure: Material Issue': 0.17317089438438416, 'Defective Part': 0.16421917080879211, 'Number of Parts Replaced': 0.1249706894159317, 'Cause of Failure: Human Error': 0.053081825375556946, 'Cause of Failure: Design Flaw': 0.0465969443321228, 'Total Cost Incurred': 0.042437899857759476}",0,0,1,0,0,0,0,0,0,0,0
" REKL AD BLUE TANK ZUM QUALIT TSSENSOR UNDICHT ERN  GRUND AD BLUE TANK ZUM QUALIT TSSENSOR UNDICHT ERN  KORRECTUR AD BLUE TANK ZUM QUALIT TSSENSOR UNDICHT ERN , leider lÄst sich der neue Adblue Tank nicht prog Asist ist geschrieben",AD-BLUE TANK,FLUID LEAKS,TANK/RESERVOIR,2.0,1467.88," REKL  AD BLUE TANK TO QUALITY SENSOR LEAKING   REASON FROM BLUE TANK TO QUALITY SENSOR LEAKING  CORRECTION  AD BLUE TANK TO THE QUALITY SENSOR IS LEAKING, unfortunately the new Adblue tank cannot be programmed. Asist is written","{'Type of Failure': 0.1807805746793747, 'Number of Parts Replaced': 0.15165860950946808, 'Defective Component': 0.13189291954040527, 'Defective Part': 0.12317410111427307, 'Cause of Failure: Material Issue': 0.1196812093257904, 'Cause of Failure: Human Error': 0.10353443026542664, 'Total Cost Incurred': 0.0959320142865181, 'Cause of Failure: Design Flaw': 0.09334613382816315}",0,0,1,0,0,0,0,0,0,0,0
"SICAYET Gaz kesiyor NEDEN Mazot filtresi sensöründe kısa devre var yakıt sıcaklığı uyarısı veriyor. 
Araç korumaya alıyor. YAPILANIS Mazot filtresi sensörü değiştirildi.",WATER IND SENSOR,SHORT CIRCUIT,SENSOR,1.0,47.881579,"TEMPERATURE  Gas ​​cuts off WHY  There is a short circuit in the diesel filter sensor and it gives a fuel temperature warning. 
The vehicle is protected. PROCEDURE  The diesel filter sensor was replaced.","{'Type of Failure': 0.20137277245521545, 'Number of Parts Replaced': 0.16208255290985107, 'Defective Component': 0.16051477193832397, 'Defective Part': 0.13747552037239075, 'Cause of Failure: Material Issue': 0.11394074559211731, 'Cause of Failure: Human Error': 0.07746268063783646, 'Total Cost Incurred': 0.07689321041107178, 'Cause of Failure: Design Flaw': 0.0702577531337738}",0,0,1,0,0,0,0,0,0,0,0
" REKL Navi teilweise ohne Funktion und hÄngt sich auf  GRUND Navi Update verfÜgbar  KORRECTUR Navi ÜberprÜft, Navi/Radio neu programmiert",DAB RADIO BLUETOOTH,NO WARNING,MONITOR,1.0,107.0," REKL  Navi partly not working and hangs up   REASON Navi update available   CORRECTION  Navi checked, navigation/radio reprogrammed","{'Type of Failure': 0.21772345900535583, 'Defective Part': 0.1850835531949997, 'Number of Parts Replaced': 0.16130468249320984, 'Defective Component': 0.14952445030212402, 'Cause of Failure: Material Issue': 0.09555976092815399, 'Cause of Failure: Human Error': 0.06762620806694031, 'Total Cost Incurred': 0.06722620129585266, 'Cause of Failure: Design Flaw': 0.05595170706510544}",0,0,1,0,0,0,0,0,0,0,0
 REKL SOFTWARE EPS FEHLERHAFT  GRUND SOFTWARE EPS FEHLERHAFT  KORRECTUR NEUE SOFTWARE EPS PER TELESERVICE PROGRAMMIEREN,ELE./MECH/POWER STEERING,DEFECTIVE CONTACTS,POWER STEERING,0.0,92.0, REKL  SOFTWARE EPS FAULTY   REASON SOFTWARE EPS FAULTY   CORRECTION  PROGRAM NEW SOFTWARE EPS VIA TELESERVICE,"{'Type of Failure': 0.20665539801120758, 'Defective Component': 0.2031690627336502, 'Defective Part': 0.1709834188222885, 'Number of Parts Replaced': 0.12787924706935883, 'Cause of Failure: Material Issue': 0.1024559810757637, 'Total Cost Incurred': 0.07543008029460907, 'Cause of Failure: Human Error': 0.058678921312093735, 'Cause of Failure: Design Flaw': 0.05474785715341568}",0,0,1,0,0,0,0,0,0,0,0
"REKL BEANSTANDUNG: VERSCHIEDENE FEHLERMELDUNGEN 
IM DISPLAY - PRUEFEN GRUND DIAGNOSE UDT, FEHLERMELDUNGEN VERURSACHT 
DURCH KITAS SENSOR KORRECTUR BODY-COMPUTER, LDWS-ANLAGE-, BREMSANLAGE-, 
SCR-, UND EDC-ANLAGE PRUEFEN, 
FAHRTENSCHREIBER GEBER A/E, ERNEUERN, 
DADURCH FAHRTENSCHREIBER PRUEFUNG 
ERFORDERLICH, FEHLERSPEICHER LOESCHEN, 
",TACHOGRAPH SENDER,INCORRECT RUNNING SPEED,PULSE GENERATOR,3.0,503.63,"REKL  COMPLAINT: VARIOUS ERROR MESSAGES 
IN DISPLAY - CHECK REASON  DIAGNOSIS UDT, ERROR MESSAGES CAUSED 
BY KITAS SENSOR CORRECTION  BODY COMPUTER, LDWS SYSTEM, BRAKE SYSTEM, 
CHECK SCR AND EDC SYSTEM, 
Tachograph ENCODER A/E, RENEW, 
THEREFORE TACHOGRAPH CHECK 
REQUIRED, CLEAR ERROR MEMORY,","{'Type of Failure': 0.21267077326774597, 'Number of Parts Replaced': 0.1632698029279709, 'Defective Component': 0.14052852988243103, 'Defective Part': 0.11516282707452774, 'Cause of Failure: Material Issue': 0.11075995117425919, 'Cause of Failure: Design Flaw': 0.10468529909849167, 'Total Cost Incurred': 0.0833749920129776, 'Cause of Failure: Human Error': 0.0695478543639183}",0,0,1,0,0,0,0,0,0,0,0
"REKL Notruf ICC vom 23.02.2022 19:36 Uhr
Dossiernr. 8001705782 GRUND Fahrzeug hat einen Kühlmittelverlust. KORRECTUR 98 km Fahrt mit WW zum Pannenort A4 Richtung Erfurt auf dem Rastplatz 
Werratal",ANS 24 HOURS,MISCELLANEOUS,WATER PIPE,0.0,430.9,"REKL  ICC emergency call from February 23, 2022 7:36 p.m
Dossier no. 8001705782 REASON  Vehicle has a coolant loss. CORRECTION  98 km ride with WW to the breakdown spot on the A4 towards Erfurt at the rest area 
Werra Valley","{'Defective Component': 0.1975645124912262, 'Type of Failure': 0.18633294105529785, 'Defective Part': 0.13493859767913818, 'Cause of Failure: Material Issue': 0.13407064974308014, 'Number of Parts Replaced': 0.12666182219982147, 'Cause of Failure: Human Error': 0.07941878587007523, 'Total Cost Incurred': 0.0762307271361351, 'Cause of Failure: Design Flaw': 0.06478195637464523}",0,0,1,0,0,0,0,0,0,0,0
 REKL Fahrzeug startet nicht  GRUND Fahrzeug startet nicht  KORRECTUR Montagefahrt nach LÜbeck-TravemÜnde/zum Hafenplatz 1 102 Kilometer,ANS 24 HOURS,MISCELLANEOUS,EARTH WIRE,0.0,354.3," REKL  Vehicle won't start   REASON Vehicle will not start   CORRECTION  Assembly trip to LÜbeck-TravemÜnde/to the harbor square 1,102 kilometers","{'Type of Failure': 0.21952970325946808, 'Defective Component': 0.1451629251241684, 'Number of Parts Replaced': 0.13178975880146027, 'Cause of Failure: Material Issue': 0.1247289851307869, 'Defective Part': 0.1159050241112709, 'Cause of Failure: Human Error': 0.09571272134780884, 'Total Cost Incurred': 0.08635596185922623, 'Cause of Failure: Design Flaw': 0.0808149054646492}",0,0,1,0,0,0,0,0,0,0,0
 REKL ROSTBILDUNG UNTERFAHRSCHUTZ  GRUND ROSTBILDUNG UNTERFAHRSCHUTZ  KORRECTUR ROSTBILDUNG UNTERFAHRSCHUTZ UNTERFAHRSCHUTZ ERNEUERT,REAR BUMPER,UNEVEN PAINT,REAR APRON,15.0,299.36, REKL  RUST FORMATION UNDERDRIVE PROTECTION   REASON RUST FORMATION UNDERDRIVE PROTECTION   CORRECTION  RUST FORMATION UNDER RUN PROTECTION UNDER RUN GUARD RENEWED,"{'Number of Parts Replaced': 0.2764911949634552, 'Type of Failure': 0.16397321224212646, 'Defective Component': 0.12590788304805756, 'Defective Part': 0.10790115594863892, 'Cause of Failure: Material Issue': 0.10394745320081711, 'Total Cost Incurred': 0.0818132683634758, 'Cause of Failure: Human Error': 0.07816891372203827, 'Cause of Failure: Design Flaw': 0.06179691478610039}",0,0,1,0,0,0,0,0,0,0,0
SKARGA Szum podczas jazdy CPRZ luz na łożysku koła P.P KORECTA w/z łożysko koła + spr. luzów na łożyskach kół osi przedniej,FRT AXLE WHEEL HUBS,TOO LOOSE/FLEXIBLE,WHEEL HUB SET,2.0,471.526317,COMPLAINT  Noise while driving  CPRZ play in the wheel bearing P.P  CORRECTION  w/w wheel bearing + spring play in the front axle wheel bearings,"{'Type of Failure': 0.2347734421491623, 'Defective Part': 0.16186794638633728, 'Defective Component': 0.15911205112934113, 'Number of Parts Replaced': 0.1467466801404953, 'Cause of Failure: Material Issue': 0.10586883127689362, 'Cause of Failure: Human Error': 0.07801244407892227, 'Cause of Failure: Design Flaw': 0.06557196378707886, 'Total Cost Incurred': 0.04804668948054314}",0,0,1,0,0,0,0,0,0,0,0
REKL FAHRZEUG STARTET NICHT GRUND FAHRZEUG ZUM SCHLEPPEN VORBEREITEN KORRECTUR FAHRZEUG EINSCHLEPPEN LASSEN,ANS 24H RECOVERY CHARGE,DEFECT,NOX SENSOR,0.0,744.5,REKL  VEHICLE WILL NOT START  REASON PREPARE VEHICLE FOR TOWING  CORRECTION  HAVE THE VEHICLE TOWED IN,"{'Type of Failure': 0.18904316425323486, 'Defective Component': 0.16161686182022095, 'Number of Parts Replaced': 0.12548452615737915, 'Cause of Failure: Material Issue': 0.12209657579660416, 'Defective Part': 0.11984800547361374, 'Total Cost Incurred': 0.10268408060073853, 'Cause of Failure: Human Error': 0.09596247971057892, 'Cause of Failure: Design Flaw': 0.08326427638530731}",0,0,1,0,0,0,0,0,0,0,0
" TIPO DANNO Spia candelette si accende - Cablaggio inefficiente - Diagnosi, s/r particolari per controllo e ripristino impianto elettrico  CAUSA Cablaggio inefficiente  CORREZIONE Diagnosi, s/r particolari per controllo e ripristino impianto elettrico",CABLES PREHEATING PLUGS,DEFECTIVE CONTACTS,INJECTOR CABLE,1.0,301.97," DAMAGE TYPE  Glow plug warning light comes on - Inefficient wiring - Diagnosis, details for checking and restoring the electrical system   CAUSE Wiring inefficient  CORRECTION  Diagnosis, details for checking and restoring the electrical system","{'Type of Failure': 0.3307541608810425, 'Defective Component': 0.1765536218881607, 'Defective Part': 0.1468353420495987, 'Cause of Failure: Material Issue': 0.11071230471134186, 'Total Cost Incurred': 0.06803866475820541, 'Number of Parts Replaced': 0.06696303188800812, 'Cause of Failure: Design Flaw': 0.050122424960136414, 'Cause of Failure: Human Error': 0.05002044513821602}",0,0,1,0,0,0,0,0,0,0,0
 REKL hecktÜrenverriegeln nivht Über ZV  GRUND HecktÜrkontakte eingelaufen  KORRECTUR HecktÜrkontake erneuert,REAR DOOR CONNECTION,DEFECTIVE CONTACTS,SLIDING CONTACT,2.0,111.04, REKL  Rear doors cannot be locked via ZV   REASON Rear door contacts worn out   CORRECTION  Rear door contacts renewed,"{'Number of Parts Replaced': 0.25196653604507446, 'Type of Failure': 0.1963057667016983, 'Defective Component': 0.1268034279346466, 'Defective Part': 0.12189051508903503, 'Cause of Failure: Material Issue': 0.10775915533304214, 'Cause of Failure: Design Flaw': 0.07977409660816193, 'Cause of Failure: Human Error': 0.06674563139677048, 'Total Cost Incurred': 0.048754844814538956}",0,0,1,0,0,0,0,0,0,0,0
"SICAYET ARAÇTA HARARET MEVCUT NEDEN YAPILAN KONTROLLERDE ARACIN TERMOSFATI AŞI ISINDIĞINDAN 
DOLAYI GÖREVİNİ YERİNE GETİREMEDİĞİ TESPİT EDİLDİ YAPILANIS TERMOSFAT CONTA VE HARARET MÜŞÜRİ DEĞİŞTRİLDİ.ARIZA 
GİDERİLDİ",THERMOSTAT BODY,OVERHEATING,THERMOSTAT BODY,3.0,29.7636,"TEMPERATURE  THERE IS TEMPERATURE IN THE VEHICLE WHY  DUE TO THE CHECKS, THE THERMOSFAT OF THE VEHICLE WAS OVER HOT. 
THEREFORE IT WAS DETERMINED THAT HE COULD NOT FULFILL HIS DUTY WHAT WAS DONE  THERMOSFET GASKET AND TEMPERATURE SENDER WERE CHANGED. FAILURE 
FIXED","{'Type of Failure': 0.23130543529987335, 'Cause of Failure: Material Issue': 0.13260705769062042, 'Defective Component': 0.13233467936515808, 'Cause of Failure: Human Error': 0.1275511085987091, 'Defective Part': 0.11381546407938004, 'Number of Parts Replaced': 0.10020561516284943, 'Cause of Failure: Design Flaw': 0.09600085765123367, 'Total Cost Incurred': 0.06617982685565948}",0,0,1,0,0,0,0,0,0,0,0
 INCIDENT PORTE ARRIERE NE S'OUVRE PLUS  CAUSE BLOCAGE DE LA SERRURE DE PORTE ARRIERE  SOLUTION REMPLACEMENT SERRURE DE PORTE ARRIERE ET REGLAGE DES PORTES,LOCKS,BLOCKAGE,DOOR LOCK,1.0,105.41, INCIDENT  REAR DOOR NO LONGER OPENS   CAUSE REAR DOOR LOCK BLOCKED   SOLUTION  REAR DOOR LOCK REPLACEMENT AND DOOR ADJUSTMENT,"{'Type of Failure': 0.22938118875026703, 'Number of Parts Replaced': 0.17447055876255035, 'Defective Component': 0.14638251066207886, 'Defective Part': 0.12153671681880951, 'Cause of Failure: Material Issue': 0.11574167758226395, 'Total Cost Incurred': 0.08675935864448547, 'Cause of Failure: Design Flaw': 0.0660305917263031, 'Cause of Failure: Human Error': 0.059697456657886505}",0,0,1,0,0,0,0,0,0,0,0
"COMPLAINT VEHICLE DO NOT START CAUSE ALTENATOR DO NOT CHARGE BATTERY , STATER 
DEFECTIVEAND DO NOT CHARGE BATTERY CORRECTION REPLACE ALTENATOR AND V BELT",ALTERNATOR ASSEMBLY,DEFECT,ALTERNATOR,2.0,317.953925,"COMPLAINT VEHICLE DO NOT START CAUSE ALTENATOR DO NOT CHARGE BATTERY , STATER 
DEFECTIVEAND DO NOT CHARGE BATTERY CORRECTION REPLACE ALTENATOR AND V BELT","{'Defective Component': 0.3671324849128723, 'Defective Part': 0.2545478045940399, 'Number of Parts Replaced': 0.10346747934818268, 'Type of Failure': 0.10251504182815552, 'Cause of Failure: Material Issue': 0.06535593420267105, 'Cause of Failure: Human Error': 0.043939363211393356, 'Cause of Failure: Design Flaw': 0.036036062985658646, 'Total Cost Incurred': 0.027005834504961967}",0,0,1,0,0,0,0,0,0,0,0
"SKARGA SPRAWD± SILNIK CPRZ usterka z·acza czujnika cisnienia ukladu wydechowego, 
przewody pneumatyczne zanieczyszczone sadza KORECTA Naprawa zlacza instalacji czujnika, czyszczenie uukladu 
pneumatycznego",AD-BLUE SYSTEM CABLING,DEFECTIVE CONTACTS,WIRE/CABLE,1.0,90.349475,"COMPLAINT  CHECK ENGINE  CPRZ exhaust system pressure sensor connector fault, 
pneumatic lines contaminated with soot KORECTA  Repair of the sensor installation connector, cleaning of the system 
pneumatic","{'Type of Failure': 0.22613197565078735, 'Defective Component': 0.18412773311138153, 'Number of Parts Replaced': 0.13952669501304626, 'Defective Part': 0.13077275454998016, 'Cause of Failure: Material Issue': 0.12507395446300507, 'Cause of Failure: Design Flaw': 0.06831960380077362, 'Total Cost Incurred': 0.06401455402374268, 'Cause of Failure: Human Error': 0.062032707035541534}",0,0,1,0,0,0,0,0,0,0,0
Fejl Melder fejl på motorlampe og andre lamper Årsag Testerpå og fejl udlæst. fejl på h. bagerste abs sensor Rettelse H. bagerste abs sensor udsk.,SENSOR,DEFECTIVE CONTACTS,SENSOR,1.0,289.718499,Error  Reports errors on engine light and other lights  Reason Test on and error read out. error on h. rear abs sensor Correction  H. rear abs sensor excl.,"{'Type of Failure': 0.19231703877449036, 'Defective Component': 0.1588161736726761, 'Defective Part': 0.14876626431941986, 'Cause of Failure: Material Issue': 0.1201605275273323, 'Number of Parts Replaced': 0.11487725377082825, 'Cause of Failure: Human Error': 0.11352982372045517, 'Cause of Failure: Design Flaw': 0.07892004400491714, 'Total Cost Incurred': 0.07261286675930023}",0,0,1,0,0,0,0,0,0,0,0
"REKL immer wieder ausfall aebs, tempomat asr etc GRUND radarsenspr lose vorne in der stoßstange, dadrch verstellt und arbeitet nicht 
richtig KORRECTUR radrsensor neu befestiegt, korrekt ausgerischtet, kalibrierfahrt ausgiebe 
fahrt 70km durchgeführt und korrekte postion zu finden",ACC SENSOR,LOOSE RETAINER,SENSOR,0.0,399.0,"REKL  AEBS, ASR cruise control, etc. keep failing  REASON radar sensor loose in the front of the bumper, therefore adjusted and doesn't work 
correct CORRECTION  wheel sensor reattached, correctly aligned, calibration run issued 
I drove 70km and found the correct position","{'Type of Failure': 0.1971423327922821, 'Defective Component': 0.17014354467391968, 'Number of Parts Replaced': 0.15312997996807098, 'Defective Part': 0.13610762357711792, 'Cause of Failure: Material Issue': 0.12204480916261673, 'Cause of Failure: Design Flaw': 0.08460646122694016, 'Cause of Failure: Human Error': 0.08166643232107162, 'Total Cost Incurred': 0.05515887215733528}",0,0,1,0,0,0,0,0,0,0,0
