DealerComment,Component,Failure,DefectivePart,PartsReplaced,Cost,Translated_DealerComment,Cause_of_Failure,Defective Component,Defective Part,Number of Parts Replaced,Total Cost Incurred,Human Error,Design Flaw,Material Issue
 REKL SOFTWARE EPS FEHLERHAFT  GRUND SOFTWARE EPS FEHLERHAFT  KORRECTUR NEUE SOFTWARE EPS PER TELESERVICE PROGRAMMIEREN,ELE./MECH/POWER STEERING,DEFECTIVE CONTACTS,POWER STEERING,0.0,92.0, REKL  SOFTWARE EPS FAULTY   REASON SOFTWARE EPS FAULTY   CORRECTION  PROGRAM NEW SOFTWARE EPS VIA TELESERVICE,Defective Component,1,0,0,0,0,0,0
"REKL BEANSTANDUNG: VERSCHIEDENE FEHLERMELDUNGEN 
IM DISPLAY - PRUEFEN GRUND DIAGNOSE UDT, FEHLERMELDUNGEN VERURSACHT 
DURCH KITAS SENSOR KORRECTUR BODY-COMPUTER, LDWS-ANLAGE-, BREMSANLAGE-, 
SCR-, UND EDC-ANLAGE PRUEFEN, 
FAHRTENSCHREIBER GEBER A/E, ERNEUERN, 
DADURCH FAHRTENSCHREIBER PRUEFUNG 
ERFORDERLICH, FEHLERSPEICHER LOESCHEN, 
",TACHOGRAPH SENDER,INCORRECT RUNNING SPEED,PULSE GENERATOR,3.0,503.63,"REKL  COMPLAINT: VARIOUS ERROR MESSAGES 
IN DISPLAY - CHECK REASON  DIAGNOSIS UDT, ERROR MESSAGES CAUSED 
BY KITAS SENSOR CORRECTION  BODY COMPUTER, LDWS SYSTEM, BRAKE SYSTEM, 
CHECK SCR AND EDC SYSTEM, 
Tachograph ENCODER A/E, RENEW, 
THEREFORE TACHOGRAPH CHECK 
REQUIRED, CLEAR ERROR MEMORY,",Number of Parts Replaced,0,0,1,0,0,0,0
"REKL Notruf ICC vom 23.02.2022 19:36 Uhr
Dossiernr. 8001705782 GRUND Fahrzeug hat einen Kühlmittelverlust. KORRECTUR 98 km Fahrt mit WW zum Pannenort A4 Richtung Erfurt auf dem Rastplatz 
Werratal",ANS 24 HOURS,MISCELLANEOUS,WATER PIPE,0.0,430.9,"REKL  ICC emergency call from February 23, 2022 7:36 p.m
Dossier no. 8001705782 REASON  Vehicle has a coolant loss. CORRECTION  98 km ride with WW to the breakdown spot on the A4 towards Erfurt at the rest area 
Werra Valley",Defective Component,1,0,0,0,0,0,0
 REKL Fahrzeug startet nicht  GRUND Fahrzeug startet nicht  KORRECTUR Montagefahrt nach LÜbeck-TravemÜnde/zum Hafenplatz 1 102 Kilometer,ANS 24 HOURS,MISCELLANEOUS,EARTH WIRE,0.0,354.3," REKL  Vehicle won't start   REASON Vehicle will not start   CORRECTION  Assembly trip to LÜbeck-TravemÜnde/to the harbor square 1,102 kilometers",Defective Component,1,0,0,0,0,0,0
 REKL ROSTBILDUNG UNTERFAHRSCHUTZ  GRUND ROSTBILDUNG UNTERFAHRSCHUTZ  KORRECTUR ROSTBILDUNG UNTERFAHRSCHUTZ UNTERFAHRSCHUTZ ERNEUERT,REAR BUMPER,UNEVEN PAINT,REAR APRON,15.0,299.36, REKL  RUST FORMATION UNDERDRIVE PROTECTION   REASON RUST FORMATION UNDERDRIVE PROTECTION   CORRECTION  RUST FORMATION UNDER RUN PROTECTION UNDER RUN GUARD RENEWED,Number of Parts Replaced,0,0,1,0,0,0,0
SKARGA Szum podczas jazdy CPRZ luz na łożysku koła P.P KORECTA w/z łożysko koła + spr. luzów na łożyskach kół osi przedniej,FRT AXLE WHEEL HUBS,TOO LOOSE/FLEXIBLE,WHEEL HUB SET,2.0,471.526317,COMPLAINT  Noise while driving  CPRZ play in the wheel bearing P.P  CORRECTION  w/w wheel bearing + spring play in the front axle wheel bearings,Defective Part,0,1,0,0,0,0,0
REKL FAHRZEUG STARTET NICHT GRUND FAHRZEUG ZUM SCHLEPPEN VORBEREITEN KORRECTUR FAHRZEUG EINSCHLEPPEN LASSEN,ANS 24H RECOVERY CHARGE,DEFECT,NOX SENSOR,0.0,744.5,REKL  VEHICLE WILL NOT START  REASON PREPARE VEHICLE FOR TOWING  CORRECTION  HAVE THE VEHICLE TOWED IN,Defective Component,1,0,0,0,0,0,0
" TIPO DANNO Spia candelette si accende - Cablaggio inefficiente - Diagnosi, s/r particolari per controllo e ripristino impianto elettrico  CAUSA Cablaggio inefficiente  CORREZIONE Diagnosi, s/r particolari per controllo e ripristino impianto elettrico",CABLES PREHEATING PLUGS,DEFECTIVE CONTACTS,INJECTOR CABLE,1.0,301.97," DAMAGE TYPE  Glow plug warning light comes on - Inefficient wiring - Diagnosis, details for checking and restoring the electrical system   CAUSE Wiring inefficient  CORRECTION  Diagnosis, details for checking and restoring the electrical system",Defective Component,1,0,0,0,0,0,0
 REKL hecktÜrenverriegeln nivht Über ZV  GRUND HecktÜrkontakte eingelaufen  KORRECTUR HecktÜrkontake erneuert,REAR DOOR CONNECTION,DEFECTIVE CONTACTS,SLIDING CONTACT,2.0,111.04, REKL  Rear doors cannot be locked via ZV   REASON Rear door contacts worn out   CORRECTION  Rear door contacts renewed,Number of Parts Replaced,0,0,1,0,0,0,0
"SICAYET ARAÇTA HARARET MEVCUT NEDEN YAPILAN KONTROLLERDE ARACIN TERMOSFATI AŞI ISINDIĞINDAN 
DOLAYI GÖREVİNİ YERİNE GETİREMEDİĞİ TESPİT EDİLDİ YAPILANIS TERMOSFAT CONTA VE HARARET MÜŞÜRİ DEĞİŞTRİLDİ.ARIZA 
GİDERİLDİ",THERMOSTAT BODY,OVERHEATING,THERMOSTAT BODY,3.0,29.7636,"TEMPERATURE  THERE IS TEMPERATURE IN THE VEHICLE WHY  DUE TO THE CHECKS, THE THERMOSFAT OF THE VEHICLE WAS OVER HOT. 
THEREFORE IT WAS DETERMINED THAT HE COULD NOT FULFILL HIS DUTY WHAT WAS DONE  THERMOSFET GASKET AND TEMPERATURE SENDER WERE CHANGED. FAILURE 
FIXED",Defective Component,1,0,0,0,0,0,0
 INCIDENT PORTE ARRIERE NE S'OUVRE PLUS  CAUSE BLOCAGE DE LA SERRURE DE PORTE ARRIERE  SOLUTION REMPLACEMENT SERRURE DE PORTE ARRIERE ET REGLAGE DES PORTES,LOCKS,BLOCKAGE,DOOR LOCK,1.0,105.41, INCIDENT  REAR DOOR NO LONGER OPENS   CAUSE REAR DOOR LOCK BLOCKED   SOLUTION  REAR DOOR LOCK REPLACEMENT AND DOOR ADJUSTMENT,Number of Parts Replaced,0,0,1,0,0,0,0
"COMPLAINT VEHICLE DO NOT START CAUSE ALTENATOR DO NOT CHARGE BATTERY , STATER 
DEFECTIVEAND DO NOT CHARGE BATTERY CORRECTION REPLACE ALTENATOR AND V BELT",ALTERNATOR ASSEMBLY,DEFECT,ALTERNATOR,2.0,317.953925,"COMPLAINT VEHICLE DO NOT START CAUSE ALTENATOR DO NOT CHARGE BATTERY , STATER 
DEFECTIVEAND DO NOT CHARGE BATTERY CORRECTION REPLACE ALTENATOR AND V BELT",Defective Component,1,0,0,0,0,0,0
"SKARGA SPRAWD± SILNIK CPRZ usterka z·acza czujnika cisnienia ukladu wydechowego, 
przewody pneumatyczne zanieczyszczone sadza KORECTA Naprawa zlacza instalacji czujnika, czyszczenie uukladu 
pneumatycznego",AD-BLUE SYSTEM CABLING,DEFECTIVE CONTACTS,WIRE/CABLE,1.0,90.349475,"COMPLAINT  CHECK ENGINE  CPRZ exhaust system pressure sensor connector fault, 
pneumatic lines contaminated with soot KORECTA  Repair of the sensor installation connector, cleaning of the system 
pneumatic",Defective Component,1,0,0,0,0,0,0
Fejl Melder fejl på motorlampe og andre lamper Årsag Testerpå og fejl udlæst. fejl på h. bagerste abs sensor Rettelse H. bagerste abs sensor udsk.,SENSOR,DEFECTIVE CONTACTS,SENSOR,1.0,289.718499,Error  Reports errors on engine light and other lights  Reason Test on and error read out. error on h. rear abs sensor Correction  H. rear abs sensor excl.,Defective Component,1,0,0,0,0,0,0
"REKL immer wieder ausfall aebs, tempomat asr etc GRUND radarsenspr lose vorne in der stoßstange, dadrch verstellt und arbeitet nicht 
richtig KORRECTUR radrsensor neu befestiegt, korrekt ausgerischtet, kalibrierfahrt ausgiebe 
fahrt 70km durchgeführt und korrekte postion zu finden",ACC SENSOR,LOOSE RETAINER,SENSOR,0.0,399.0,"REKL  AEBS, ASR cruise control, etc. keep failing  REASON radar sensor loose in the front of the bumper, therefore adjusted and doesn't work 
correct CORRECTION  wheel sensor reattached, correctly aligned, calibration run issued 
I drove 70km and found the correct position",Defective Component,1,0,0,0,0,0,0
"REKL Beleuchtung am Fz.-Anhänger ohne Funktion GRUND Wassereintritt im Stecker von der Anhängersteckdose zum 
Steuergerät KORRECTUR Reinigung und Trockner vom Stecker ohne Erfolg.
Anhängersteckdose erneuert und Funktionsproben durchführen.
",ECU 13-PIN SOCKET TRAILER,DEFECTIVE CONTACTS,WIRE/CABLE,1.0,134.471154,"REKL  Lighting on the vehicle trailer does not work  REASON Water entry into the plug from the trailer socket to the 
Control unit CORRECTION  Cleaning and drying the plug to no avail.
Trailer socket replaced and functional tests carried out.",Defective Component,1,0,0,0,0,0,0
COMPLAINT PRI ORPAVE ZJISTEN UNIK CHLADICI KAPALINY CAUSE NETESNY CHLADIC VODY ZE ZADNI STRANY CORRECTION VYMENA,RADIATOR,BREAK,WATER RADIATOR REMAN,1.0,226.15,COMPLAIN  COOLING LIQUID LEAK DETECTED DURING BREAKING  CAUSE WATER COOLER LEAKS FROM THE REAR SIDE  CORRECTION  EXCHANGE,Defective Component,1,0,0,0,0,0,0
COMPLAINT AMBER EML LIGHT ON DASH CAUSE SHORT CIRCUIT ON WIRING TO ADBLUE SENSOR CORRECTION REPAIR WIRING TO ADBLUE SENSOR,CHASSIS LOOM,SHORT CIRCUIT,FRAME WIRING,0.0,126.104651,COMPLAINT AMBER EML LIGHT ON DASH CAUSE SHORT CIRCUIT ON WIRING TO ADBLUE SENSOR CORRECTION REPAIR WIRING TO ADBLUE SENSOR,Number of Parts Replaced,0,0,1,0,0,0,0
"SICAYET MÜŞTERİMİZ SERVİSİMİZE ARIZA LAMBASI YANIYOR ARAÇTA 
ÇEKİŞ DÜŞÜKLÜĞÜ VAR ŞİKAYETİ İLE GELMİŞTİR. NEDEN ARAÇ UDT İLE KONTROL EDİLDİĞİNDE DPF AŞAĞI İŞLETİM 
YÖNÜNDEKİ ISI SENSÖRÜNDEN ARIZA VERDİĞİ GÖRÜLMÜŞTÜR. YAPILANIS ISI SENSÖRÜRÜ DEĞİŞTİRİLDİ ARIZA GİDERİLDİ.",TEMPERATURE SENSOR,SHORT CIRCUIT,EXH.GAS TEMP. SENSOR,1.0,28.382,"TEMPERATURE  OUR CUSTOMER CONTACTS OUR SERVICE. THE FAILURE LAMP IS ON IN THE VEHICLE. 
IT CAME WITH THE COMPLAINT OF LOW TRACTION. FROM WHERE  DPF DOWN OPERATION WHEN THE VEHICLE IS CONTROLLED BY UDT 
IT HAS BEEN OBSERVED THAT THE THERMAL SENSOR ON ITS DIRECTION IS FAILURED. PROCEDURE  THE TEMPERATURE SENSOR WAS CHANGED AND THE FAILURE WAS FIXED.",Defective Component,1,0,0,0,0,0,0
REKL ICT Software-Update GRUND Notwendig KORRECTUR durchgeführt via Teleservice,BODY COMPUTER,SUNDRY,ECU-BODY COMPUTER,0.0,52.5,REKL  ICT software update  REASON Necessary  CORRECTION carried out via teleservice,Defective Component,1,0,0,0,0,0,0
" COMPLAINT DOORS WILL NOT LOCK  CAUSE CHECK CENTRAL LOCKING, LOCATE SHORT AT WIRING PIN CONNECTION AND FUSE BLOWN.  CORRECTION 769112100 TO LOCATE AND REPAIR WIRING CONNECTION, REPLACE BLOWN FUSE.",CHASSIS LOOM,SHORT CIRCUIT,TERMINAL,2.0,62.732559," COMPLAINT DOORS WILL NOT LOCK  CAUSE CHECK CENTRAL LOCKING, LOCATE SHORT AT WIRING PIN CONNECTION AND FUSE BLOWN.  CORRECTION 769112100 TO LOCATE AND REPAIR WIRING CONNECTION, REPLACE BLOWN FUSE.",Number of Parts Replaced,0,0,1,0,0,0,0
"COMPLAINT LANE DEPARTURE WARNING ON DASH CAUSE CARRIED OUT INVESTIGATIONS- PLUG IN UDT AND FOUND NO 
COMMUNICATIONS WITH ECU- CHECKED VOLTAGE ALL OK- 
CHECKED ALL WIRING- WIRING ALL OK- INTERNAL FAILURE TO 
CAMERA CORRECTION REPLACED WITH NEW- CARRIED OUT CALBRATION AND 
TOOK 
VEHICLE ON EXTENDED ROAD TEST

-EXTRA LABOUR (SEE ATTACHED) NORTHERN 
COMMERCIALS 
WHERE THE ORIGINAL ATTENDING DEALER ON DOSSIER 
723452",REAR TV CAMERA,INTERFERENCE,TV-CAMERA,1.0,1064.116279,"COMPLAINT LANE DEPARTURE WARNING ON DASH CAUSE CARRIED OUT INVESTIGATIONS- PLUG IN UDT AND FOUND NO 
COMMUNICATIONS WITH ECU- CHECKED VOLTAGE ALL OK- 
CHECKED ALL WIRING- WIRING ALL OK- INTERNAL FAILURE TO 
CAMERA CORRECTION REPLACED WITH NEW- CARRIED OUT CALBRATION AND 
TOOK 
VEHICLE ON EXTENDED ROAD TEST

-EXTRA LABOUR (SEE ATTACHED) NORTHERN 
COMMERCIALS 
WHERE THE ORIGINAL ATTENDING DEALER ON DOSSIER 
723452",Number of Parts Replaced,0,0,1,0,0,0,0
" REKL MOTORKONTROLLE AKTIV  GRUND MOTORKONTROLLE AKTIV: AD BLUE LEITUNG AM DOSSIERER LOSE/UNDICHT  KORRECTUR MOTORKONTROLLE AKTIV: AD BLUE LEITUNG AM DOSSIERER LOSE/UNDICHT . SCHADENSBEFUND FESTGELEGT, LEITUNG A/E UND ABGEDICHTET, BEREICH GE REINIGT",PIPES AD-BLUE,FLUID LEAKS,DELIVERY LINE,0.0,138.0," REKL  ENGINE CONTROL ACTIVE   REASON ENGINE CHECK ACTIVE: AD BLUE LINE ON DOSSIERER LOOSE/LEAKING   CORRECTION  ENGINE CHECK ACTIVE: AD BLUE LINE ON DOSSIERER LOOSE/LEAKING. DAMAGE FINDINGS DETERMINED, LINE A/E AND SEALED, AREA CLEANED",Number of Parts Replaced,0,0,1,0,0,0,0
SKARGA ZAPALA SI­ KONTROLKA SILNIKA CPRZ NIEDRO®NY PRZEWOD CZUJNIKA DELTA P KORECTA UDROZNIEIE PRZEWODU ZYJNIKA DELTA P,PARTICULATE AIR TRAP SYS.,LOW OUTPUT/EFFICIENCY,PIPE,0.0,78.131992,COMPLAINT  ENGINE LIGHT IS ON  CPRZ UNCOVERED DELTA P SENSOR WIRE  CORRECTION  BLOCKAGE OF THE DELTA P VENOUS DUCT,Defective Component,1,0,0,0,0,0,0
" SKARGA POJAZD NIE MO®E ODPALIä Nie dziala kluczyk , a kluczyk zapasowy klient ma w Hola  CPRZ WADA PRODUKTU WEWNETRZNE WADLIWE DZIA ANIE KLUCZYKA NIE MO®NA ZAPROGRAMOWAä NIE IMMO NIE CZYTA KLUCZ  KORECTA WYMIANA KLUCZYKA",IGNITION KEY,DEFECT,TOOLS OF IGNITION,1.0,169.176734, COMPLAINT  VEHICLE CANNOT START The key does not work and the customer has a spare key in Hola   CPRZ  PRODUCT DEFECT INTERNAL MALFUNCTION OF THE KEY CANNOT BE PROGRAMMED NO IMMO DOES NOT READ THE KEY   CORRECTION  KEY REPLACEMENT,Defective Component,1,0,0,0,0,0,0
" SKARGA ul. Lukowska 6 - 64-600 Oborniki, Poland  CPRZ DOJAZD NA MIEJSCE AWARII ORAZ POWROT RAZEM 92KM  KORECTA DOJAZD NA MIEJSCE AWARII ORAZ POWROT RAZEM 92KM",ANS 24 HOURS,MISCELLANEOUS,LV BATTERY CABLE,0.0,82.326622," COMPLAINT  street Lukowska 6 - 64-600 Oborniki, Poland  CPRZ  ARRIVAL TO THE SITE OF FAILURE AND RETURN TOTAL 92KM   CORRECTION TOGETHER TO THE SITE OF FAILURE AND RETURN TOTAL 92KM",Number of Parts Replaced,0,0,1,0,0,0,0
"COMPLAINT diagnoza - martor abs prezent in bord CAUSE senzor abs axa fata dr defect, necesar inlocuire CORRECTION inlocuit senzor abs axa fata dr",SENSOR,DEFECT,SENSOR,1.0,26.541752," COMPLAINT  diagnosis - ABS warning light present on board  CAUSE abs sensor front right axle defective, replacement required  CORRECTION  replaced front axle abs sensor right",Defective Component,1,0,0,0,0,0,0
 REKL FZG GEHT NACH DEM STARTEN GLEICH WIEDER AUS BEF INST  GRUND FZG GEHT NACH DEM STARTEN GLEICH WIEDER AUS // VERALTETE SOFTWARE AB WERK  KORRECTUR DIAGNOSE MIT UDT ; GEFUEHRTES VERFAHREN ABGEARBEITET ; RELAIS UND SICHERUNG UND VERKABELUNG IM MOTORRAUM GEPRUEFT ; STARTANLAGE KOMP LETT DURCHGEMESSEN ; VERKLEIDUNG ARMATURENBRETT FAHRERSEITE A+E ; AUF ANWEISUNG THD EINE WEITERES GEFUEHRTES VERFAHREN ABGEARBEI TET ; STEUERGERAETE GEPRUEFT ; PROGRAMMIERUNG UEBER TLS - NEUESTE VERSION,ENGINE DRIVE CONTR.UNIT,"CONTROL,VERIFICATION",ELECTR. CONTR. UNIT,0.0,487.8," REKL  VEHICLE GOES OFF IMMEDIATELY AFTER STARTING BEF INST   REASON VEHICLE GOES RIGHT AFTER STARTING OFF AGAIN // OUTDATED SOFTWARE FROM THE FACTORY  CORRECTION  DIAGNOSIS WITH UDT ; PROCEDURE PROCESSED ; RELAY AND FUSE AND WIRING IN ENGINE COMPARTMENT TESTED ; STARTING SYSTEM COMPLETE MEASURED ; DASHBOARD COVERING DRIVER SIDE A+E ; UPON THD INSTRUCTIONS, ANOTHER PROCEDURE IS PROCESSED ; CONTROL UNITS TESTED ; PROGRAMMING VIA TLS - LATEST VERSION",Number of Parts Replaced,0,0,1,0,0,0,0
 SKARGA LUZ NA KONCOWKACH DRAZKOW REAKCYJNYCH DOLNYCH PRAWEGO I LEWEGO  CPRZ KONCOWKI DRAZKOW REAKCYJNYCH  KORECTA WYMIANA KONCOWEK DRAZKOW REAKCYJNYCH DOLNYCH PRAWEGO I LEWEGO,TIE-ROD BALL JOINTS,DEFECT,JOINT FITTING,4.0,213.111579, COMPLAINT  PLAY AT THE ENDS OF THE LOWER RIGHT AND LEFT REACTION ROD   CPRZ REACTION ROD ENDS   CORRECTION  REPLACEMENT OF LOWER RIGHT AND LEFT REACTION ROD ENDS,Number of Parts Replaced,0,0,1,0,0,0,0
 TIPO DANNO ALETTA PARASOLE DX NON TIENE LA POSIZIONE  CAUSA ALETTA PARASOLE DX NON TIENE LA POSIZIONE  CORREZIONE ALETTA PARASOLE DX NON TIENE LA POSIZIONE,SUN VISORS,COLLAPSED,SUN ROOF,1.0,62.74, DAMAGE TYPE  RIGHT SUN VISOR DOES NOT HOLD IN POSITION   CAUSE RIGHT SUN VISOR DOES NOT HOLD IN POSITION   CORRECTION  RIGHT SUN VISOR DOES NOT HOLD IN POSITION,Defective Component,1,0,0,0,0,0,0
REKL SCHALTHEBEL BEFESTIGUNG GEBROCHEN GRUND SCHALTHEBEL BEFESTIGUNG GEBROCHEN KORRECTUR SCHALTHEBEL ERN,LEVER SUPPORT TRIM,BROKEN RETAINER,LEVER KNOB,1.0,71.3,REKL  SHIFT LEVER FASTENING BROKEN  REASON SHIFT LEVER FASTENING BROKEN  CORRECTION  SHIFT LEVER ERN,Number of Parts Replaced,0,0,1,0,0,0,0
