Component,Failure,DefectivePart,PartsReplaced,Cost,Translated_DealerComment,Extracted_Entities
SUSP.ARM BALL JOINTS,DEFECT,BALL JOINT,6.0,197.517717, COMPLAINT  Squealing in turns CAUSES  Defective upper pivots  CORRECTION Replaced upper pivots,"[('COMPLAINT  Squealing', 'ORG'), ('Defective', 'ORG'), ('CORRECTION Replaced', 'ORG')]"
TEMPERATURE SENSOR,DEFECT,SENSOR,1.0,89.834451,COMPLAINT  Engine light is on  CPRZ Exhaust gas temperature sensor electrical fault  CORRECTION Replacement of the exhaust gas temperature sensor,"[('COMPLAINT', 'ORG'), ('sensor', 'DEFECTIVE_PART'), ('CORRECTION Replacement', 'ORG'), ('sensor', 'DEFECTIVE_PART')]"
PIPES AD-BLUE,BREAK,DELIVERY LINE,1.0,226.89,"DAMAGE TYPE  ENGINE LIGHT ON CAUSE  BROKEN ADBLUE SYSTEM PIPE FROM PUMP TO DOSER  CORRECTION DIAGNOSIS EDC AND DENOZ SYSTEM, PROCEDURE COMPLETED 
GUIDED ON E-TIM 001102-04-SCR, S-R AND REPLACEMENT OF PIPE 
AD-BLUE SYSTEM FROM PUMP TO DOSER, TESTED 
FINAL UDST","[('CAUSE', 'ORG'), ('PUMP', 'ORG'), ('001102-04-SCR', 'DATE'), ('PUMP', 'ORG')]"
ACTUATOR AIR PIPES,BREAK,HOSE,2.0,52.39158,"COMPLAINT  when adding gas, the turbine is louder  CPRZ broken turbine vacuum control cable  CORRECTION  replacing the damaged cable with a new one","[('COMPLAINT', 'ORG'), ('CORRECTION', 'PERSON'), ('one', 'CARDINAL')]"
ANS 24H RECOVERY CHARGE,MISCELLANEOUS,LV BATTERY CABLE,0.0,222.0," REKL  TOWING FA HOELLDOBLER   REASON ENGINE OFF, STAYING IN THE MIDDLE OF THE CROSSING   CORRECTION  TOWING FA. HOELLDOBLER","[('HOELLDOBLER', 'ORG')]"
AD-BLUE TANK,LOW OUTPUT/EFFICIENCY,TANK/RESERVOIR,51.0,1503.8,DAMAGE TYPE  VEHICLE UNDER PROTECTION CAUSE  DAMAGED FISHING MACHINE  CORRECTION replacement,"[('VEHICLE UNDER', 'ORG')]"
USB MODULE,SHORT CIRCUIT,INDICATOR,1.0,191.420911,COMPLAIN  no power in USB port CAUSE  USB port shorted  CORRECTION USB port replaced,"[('USB', 'ORG'), ('CAUSE', 'ORG'), ('USB', 'ORG')]"
BACK-UP LAMP SWITCH,DEFECT,REAR LIGHT SWITCH,2.0,84.346757," COMPLAINT  Message - HILLHOLDER function unavailable.  CPRZ  Incorrect signal from the reverse gear switch - causing errors in the system   CORRECTION Fault verification, reverse gear switch replacementA","[('COMPLAINT  Message - HILLHOLDER', 'ORG')]"
COURTESY LIGHT SWITCH,DEFECTIVE CONTACTS,SLIDING CONTACT,2.0,145.19,"REKL  ZV sliding door without function  REASON Door contact switch defective, damaged contacts  CORRECTION  Contacts and connections checked,
Sliding door panel a-e, 
Contact switch and sliding contact replaced.","[('REKL', 'ORG'), ('ZV', 'GPE'), ('CORRECTION  Contacts', 'ORG')]"
HEADLAMP ASSY,WATER INFILTRATION,HEADLIGHT,1.0,295.99, DAMAGE TYPE  FRONT LIGHTS DO NOT WORK CORRECTLY   CAUSE front light to be replaced.  CORRECTION  noun,"[('CAUSE', 'ORG'), ('CORRECTION', 'PERSON')]"
BUZZERS,DEFECTIVE CONTACTS,INDICATOR,1.0,103.53,"REKL  The reversing buzzer has no function. REASON  The reversing buzzer has a defective contact, the circuit board is oxidized. CORRECTION  The power supply and plug connections have been checked. The
Reversing buzzer has been renewed.",[]
NOX DETECTION SENSOR,DEFECT,NOX SENSOR,1.0,222.67," DAMAGE TYPE  Induction light on  CAUSE  Nox sensor wiring (upstream) found stuck and consequently damaged between the frame and catalytic converter bracket.  CORRECTION  UDT station connection for reading errors in the control unit, replacing the sensor and clearing faults.","[('Induction', 'ORG'), ('CAUSE', 'ORG'), ('sensor', 'DEFECTIVE_PART'), ('CORRECTION', 'PERSON'), ('sensor', 'DEFECTIVE_PART')]"
BATTERY,DEFECT,BATTERY,1.0,261.13," DAMAGE TYPE  STARTING CHECK  CAUSE  starter battery defective   CORRECTION DIAGNOSIS WITH UDT, S/R PLATFORM FOR REPLACEMENT STARTING BATTERY","[('CAUSE', 'ORG')]"
HOSES,DEFORMED,O-RING,1.0,96.789474,"COMPLAINT  SOMETIMES THE AIR CONDITIONING DOESN'T WORK  CPRZ LACK OF FACTOR IN THE SYSTEM DEFORMED O-RING 
AIR CONDITIONING HOSE CORRECTION  D/M FRONT BELT, PIPE, O-RING REPLACEMENT 
,FILLING THE AIR CONDITIONING","[('COMPLAINT', 'ORG'), ('PIPE', 'ORG'), ('FILLING THE AIR CONDITIONING', 'ORG')]"
CLUTCH SYS TANK AND PUMP,DEFECT,KIT-HYDRAULIC CYL,1.0,84.429736," COMPLAINT  CLUTCH PEDAL OPERATION VERIFIED  CAUSES  DEFECTIVE CLUTCH HYDRAULIC KIT, FLUID LOSS  CORRECTION HYDRAULIC CLUTCH KIT REPLACED","[('KIT', 'ORG'), ('FLUID', 'ORG'), ('CORRECTION', 'ORG'), ('KIT', 'ORG')]"
PUMP TO FILTER PIPE,BREAK,FUEL LINE,1.0,32.637895,COMPLAINT  FUEL LEAK CPPR  BROKEN FUEL PIPE  CORRECTION  FUEL PIPE REPLACEMENT,"[('COMPLAINT', 'ORG')]"
ACC SENSOR,DEFECT,SENSOR,0.0,18.494737,"COMPLAINT  RADAR ERRORS  CPRZ SOFTWARE ERRORS  CORRECTION  RAS REMOTE DIAGNOSTICS, ERASING ERRORS","[('COMPLAINT  RADAR ERRORS', 'ORG'), ('CORRECTION  RAS REMOTE DIAGNOSTICS', 'ORG')]"
ENGINE DRIVE CONTR.UNIT,DEFECT,ECU-ENGINE,0.0,53.28859, COMPLAINT  power loss max 20 km/h check engine   CPRZ EDC cartridge update   CORRECTION  EDC cartridge update,"[('COMPLAINT', 'ORG'), ('20 km', 'QUANTITY'), ('CORRECTION', 'PERSON')]"
OXYGEN SENSOR,DEFECTIVE CONTACTS,SENSOR,3.0,225.61," REKL  Engine error in the display   REASON Diagnosis: Lambda sensor; Electrical system and connections checked OK, sensor defective / short circuit  CORRECTION  Lambda sensor renewed and programmed","[('sensor', 'DEFECTIVE_PART'), ('sensor', 'DEFECTIVE_PART'), ('Lambda', 'NORP'), ('sensor', 'DEFECTIVE_PART')]"
TEMPERATURE SENSOR,SHORT CIRCUIT,LAMBDA SENSOR,1.0,118.55," DAMAGE TYPE  ENGINE LIGHT ON AND POWER REDUCTION   CAUSE CAUSE TEMPERATURE SENSOR SHORT   CORRECTION  DIAGNOSIS, EXHAUST GAS INLET TEMPERATURE SENSOR REPLACEMENT","[('SENSOR', 'DEFECTIVE_PART'), ('CORRECTION', 'PERSON'), ('DIAGNOSIS', 'ORG'), ('SENSOR', 'DEFECTIVE_PART')]"
VAN SLIDING DOOR,INCORRECT ADJUSTMENT,SLIDING DOOR,1.0,256.56,"REKL  Sliding door on the right leaking water ingress  REASON Door is set incorrectly  CORRECTION  Sliding door a/e, adjust & replace door seal","[('REKL  Sliding', 'ORG'), ('CORRECTION  Sliding', 'ORG')]"
ENG.OIL PRESSURE SWITCH,DEFORMED,PRESSURE SWITCH,1.0,121.01342, COMPLAINT  INCREASING OIL LEVEL ON THE DIPPLUG   CPRZ oil leaks at the pressure sensor   CORRECTION  oil pressure sensor replacement,"[('COMPLAINT', 'ORG'), ('sensor', 'DEFECTIVE_PART'), ('sensor', 'DEFECTIVE_PART')]"
AD-BLUE UNIT PUMP MODULE,BLOCKAGE,PUMP,0.0,133.0," DAMAGE TYPE  INDUCEMENT AND ENGINE LIGHT ON   CAUSE ADBLUE PUMP BLOCKAGE   CORRECTION DIAGNOSIS , UDST TEST CONTROLS IMP. ADBLUE BY WIZARD, FILLING AND UNBLOCKING THE PUMP (ECO). ADBLUE REAGENT CHECK, ACCORDING TO UDST TEST, FAULT MEMORY CLEARED","[('INDUCEMENT', 'NORP'), ('CORRECTION DIAGNOSIS', 'PERSON'), ('FILLING', 'ORG'), ('PUMP', 'ORG'), ('ADBLUE REAGENT CHECK', 'PERSON')]"
PARTICULATE TRAP,LOW OUTPUT/EFFICIENCY,CATALYTIC SILENCER,0.0,52.5,COMPLAINT  car goes into limp mode and a malfunction light comes on  CAUSE particulate filter does not regenerate due to SW error  CORRECTION  new software is under development in collaboration with the helpdesks.,"[('COMPLAINT', 'ORG'), ('CAUSE', 'ORG'), ('SW', 'NORP'), ('CORRECTION', 'PERSON')]"
SLEEVES,BREAK,RUBBER SLEEVE,2.0,110.277894,COMPLAINT  BLACK STAINS ON THE INTERCOOLER HOSE  CPRZ BROKEN INTERCOOLER HOSE  CORRECTION  INTERCOOLER HOSE REPLACEMENT,"[('COMPLAINT', 'ORG'), ('BLACK STAINS', 'ORG'), ('CORRECTION', 'PERSON')]"
ANS 24 HOURS,MISCELLANEOUS,BATTERY,0.0,704.0,"INCIDENT  VEHICLE IN BREAKDOWN IN CROISSY BEAUBOURG DOES NOT START 
CALL ANS 8001885281 CAUSE  TRAVEL OF THE GGE CPF TROUBLESHOOTING TO CROISSY 
BEAUBOURG.CHECKING THE STARTING CIRCUIT.TESTING THE 
BATTERY WITH EASYBATT. TEST INDICATED BATTERY A 
REPLACE HS BATTERY SOLUTION  REPLACING THE BATTERY WITH THE GGE CPF 
TROUBLESHOOTING.CHECK OK","[('BREAKDOWN', 'ORG'), ('CROISSY BEAUBOURG', 'ORG'), ('ANS', 'ORG'), ('CAUSE', 'ORG')]"
CLUTCH SYS TANK AND PUMP,DEFECT,KIT-HYDRAULIC CYL,1.0,153.97, CLAIM  PLAY IN CLUTCH PEDAL   CAUSE PLAY IN CLUTCH PEDAL   SOLUTION  REPLACE CLUTCH PUMP AND CYLINDER,"[('CAUSE', 'ORG')]"
ENGINE DRIVE CONTR.UNIT,DEFECTIVE CONTACTS,ECU-ENGINE,0.0,90.74, COMPLAINT  error message.  CAUSE  incorrect parameters in motor control box   CORRECTION reading of errors. e-time for checking plugs and wiring and sensors exhaust. forced regeneration performed. OK,"[('COMPLAINT', 'ORG'), ('CAUSE', 'ORG'), ('CORRECTION', 'PERSON')]"
RADIATOR,LEVEL INCORRECT,PARAFLU11 CONCENTR.,3.0,20.31, INCIDENT  LIGHT ON  CAUSE  LOW LEVEL   SOLUTION RPL .COOLING LIQUID DRAIN,"[('CAUSE', 'ORG')]"
REAR VAN DOORS,CRACKED,DOOR HINGE,11.0,1772.22,REKL  VAN REAR DOOR LEFT TORN  REASON DOOR HINGES BLOCKED AND DOOR TOO WEAK  CORRECTION  REPLACED,"[('DOOR', 'ORG')]"
PAD WEAR SENSOR,SHORT CIRCUIT,BRAKEWEARINDIC.EL.,1.0,50.93736, COMPLAINT  BRAKE INDICATOR   CPRZ BLOCKAGE IN ELECTRICAL INSTALLATION   CORRECTION  PAD SENSOR REPLACEMENT,"[('COMPLAINT', 'ORG'), ('BRAKE', 'ORG'), ('SENSOR', 'DEFECTIVE_PART')]"
AXLE CASING COVER,DEFORMED,COVER,3.92,116.886317, COMPLAINT  oil leak covers rear axle   CPRZ deformation of the bridge cover - manufacturing defect   CORRECTION  Replacement of the rear axle cover,"[('COMPLAINT', 'ORG'), ('CORRECTION  Replacement', 'ORG')]"
KNUCKLE PINS+BUSHES,NOISE,SPRING SUPPORT,4.0,280.069705,"COMPLAIN  noise from rear axle CAUSE  spring bolts stuck in bushings and two bolts broken  CORRECTION  all spring bushings a/p and checked and loosened, as well as 2 
mounting bolts replaced","[('noise', 'TYPE_OF_FAILURE'), ('rear axle', 'ORG'), ('CAUSE', 'ORG'), ('spring', 'DATE'), ('two', 'CARDINAL'), ('CORRECTION', 'PERSON'), ('all spring', 'DATE'), ('2', 'CARDINAL')]"
HEATER PIPES,DEFECT,HEATING TUBE,3.0,210.259842, COMPLAINT  CHECKED ANTIFREEZE LOSSES  CAUSES  DEFECTIVE BOARD HEATER HOSE  CORRECTION REPLACED BOARD HEATER HOSE,"[('COMPLAINT', 'ORG'), ('DEFECTIVE BOARD', 'ORG'), ('HOSE  ', 'PERSON'), ('CORRECTION REPLACED BOARD', 'ORG'), ('HOSE', 'ORG')]"
MULTI-CONDUCTOR PLUG,WATER INFILTRATION,WIRE/CABLE,1.0,130.09," REKL  TRAILER CONTROL ERROR MESSAGE   REASON MOISTURE TRAILER SOCKET   CORRECTION  DIAGNOSIS, TRAILER SOCKET ERN","[('REKL', 'ORG'), ('MOISTURE TRAILER SOCKET   CORRECTION  DIAGNOSIS', 'PERSON')]"
FLYWHEEL ASSEMBLY,INCORRECT CLEARANCE,FLYWHEEL,1.0,441.355263,"TEMPERATURE  the vehicle is shaking excessively when taking off.
The car shakes a lot when reversing. FROM WHERE  According to the examinations, there is a gap in the flywheel hub of the vehicle. 
It has been determined that the vehicle starts jerkily when taking off due to the gap. PROCEDURE  flywheel was replaced and the problem was resolved.

It is balanced due to the gap in the hub of the flywheel. from balance 
The flywheel should not be replaced because it creates vibration during the resulting movement. 
and the malfunction was resolved.",[]
ANS 24 HOURS,MISCELLANEOUS,RUBBER SLEEVE,0.0,307.32,TYPE DAMAGE  ANS 24H DOSSIER 8001762731  CAUSE  ANS 24H DOSSIER 8001762731  CORRECTION ANS 24H DOSSIER 8001762731,"[('ANS', 'ORG'), ('24H', 'CARDINAL'), ('CAUSE  ANS', 'ORG'), ('24H', 'CARDINAL'), ('CORRECTION ANS', 'ORG'), ('24H', 'CARDINAL')]"
TEMPERATURE SENSOR,SHORT CIRCUIT,SENSOR,1.0,47.479824,"TEMPERATURE  The vehicle's fault light is on  WHY According to the checks, the vehicle's exhaust temperature sensor was short circuited. 
has been detected. PROCEDURE  Exhaust temperature sensor changed, fault resolved","[('sensor', 'DEFECTIVE_PART'), ('sensor', 'DEFECTIVE_PART')]"
VAN SLIDING DOOR,DEFORMED,SLIDING DOOR,8.0,596.59," DAMAGE TYPE  Doors open light always on - Side door falls when opened - S/R door. lat. for subs. of the daneng parties. and attempted squaring, work was unsuccessful, the vehicle was sent to the body shop  CAUSE  Side door opens   CORRECTION  S/R port. lat. for subs. of the daneng parties. and attempted balancing, work was unsuccessful, the vehicle was sent to the body shop at","[('Doors', 'NORP'), ('daneng', 'PERSON'), ('CAUSE', 'ORG'), ('CORRECTION  S/R', 'ORG'), ('daneng', 'PERSON')]"
BREATHER PIPING,SHORT CIRCUIT,SUCTION LINE,1.0,69.64421,COMPLAINT  AIR CONDITIONING IS NOT WORKING  CPRZ SHORT CIRCUIT IN THE PREMODEMENT HEATER  CORRECTION  REPLACING THE ODMY HEATER,"[('COMPLAINT', 'ORG')]"
AIR CONDITIONER,DEFECT,FUSE,1.0,46.57,"REKL  AIR CONDITIONING, LIGHTING HEATING CONTROL PANEL, START
STOP AUTOMATIC WITHOUT FUNCTION REASON  FUSE BLOWN  CORRECTION RENEW FUSE","[('REKL  AIR CONDITIONING, LIGHTING HEATING CONTROL PANEL', 'ORG')]"
AIR FLOW MEASURING UNIT,LOW OUTPUT/EFFICIENCY,METER AIR FLOW,1.0,120.11," CLAIM  LACK OF POWER  CAUSE  INTERNAL ANOMALY IN DEBIMETER   SOLUTION DIAGNOSIS, CHECK VEHICLE AND TEST ON THE ROAD, DO VARIOUS PERFORMANCE TESTS, CHECK WIRING, ETC, REPLACE DEBIMETER OR","[('ETC', 'ORG')]"
GEARBOX INTERNAL CONTROLS,BLOCKAGE,GEAR SELECTOR,3.5,1371.006712,"COMPLAINT  DIFFICULT TO SELECT GEARS - GRIPPING 3-4-5 
GEAR (WPA 106077223) CPRZ  TRANSMISSION SELECTOR SLIDES ARE SEIZING 
THE GEARS CAUSE A PROBLEM WITH SHIFTING GEARS 
(WPA 106077223) CORRECTION  GEARBOX REPLACEMENT (WPA 106077223)","[('COMPLAINT', 'ORG'), ('WPA 106077223', 'DATE'), ('TRANSMISSION SELECTOR SLIDES ARE SEIZING', 'ORG'), ('WPA 106077223', 'DATE'), ('WPA 106077223', 'DATE')]"
ANS 24 HOURS,MISCELLANEOUS,ECU-ENGINE,72.0,166.05,"COMPLAINT  Vehicle is in Marknesse, engine failure and no power  CAUSE Engine ECU software not compliant, causing the particulate filter to become saturated CORRECTION  Claim part concerns travel time and km (92 km in total)","[('COMPLAINT', 'ORG'), ('Vehicle', 'ORG'), ('Marknesse', 'GPE'), ('CAUSE Engine', 'ORG'), ('92 km', 'QUANTITY')]"
PARTICULATE SENSOR,SHORT CIRCUIT,PM SENSOR,11.0,275.25," REKL  MIL LIGHTS UP   REASON PM SENSOR DEFECTIVE   CORRECTION  VEHICLE READ, DIAGNOSIS PERFORMED ACCORDING TO E-TIM, PM SENSOR RENEWED","[('SENSOR', 'DEFECTIVE_PART'), ('CORRECTION', 'PERSON'), ('E-TIM', 'PERSON'), ('SENSOR', 'DEFECTIVE_PART')]"
BRAKE PAD,BLOCKAGE,BRAKE SADDLE,0.0,216.487936,"COMPLAIN  noise from brakes CAUSE  brake calipers go tight, the pads are hard on the surface and there is 
grooves in the brake discs CORRECTION  brakes tested, brake calipers a/p and loosened, cleaned and lubricated, , discs 
a/p and ground down in the surface and blocks a/p rasped off in the surface, then 
the hard has disappeared","[('noise', 'TYPE_OF_FAILURE'), ('CAUSE', 'ORG'), ('CORRECTION', 'PERSON')]"
REAR CABLE,BLOCKAGE,HAND BRAKE CABLE,8.0,393.006711," COMPLAINT  WEAK HANDBRAKE, DOES NOT HOLD   CPRZ FAULT INSPECTION. SEALED HAND BRAKE CABLES - THE REAR CLAMPS ON THE HAND BRAKE LEVER BLOCKED  CORRECTION  REPLACEMENT OF REAR CABLES AND CLAMPS. LOOSE CLIP COVER HAS BEEN REPLACED","[('COMPLAINT', 'ORG'), ('LEVER BLOCKED  ', 'PERSON')]"
AIR TEMPERATURE SENSOR,NO WARNING,TEMP. TRANSMITTER,1.0,218.42,REKL  Check engine lights on  REASON Temperature sensor after EGR incorrect values ​​ CORRECTION  Temperature sensor after EGR replaced,"[('REKL  Check', 'ORG'), ('sensor', 'DEFECTIVE_PART'), ('EGR', 'ORG'), ('sensor', 'DEFECTIVE_PART'), ('EGR', 'ORG')]"
